,TARIFF.CODE&&ORIGIN.CODE,TARIFF.CODE&&ORIGIN.CODE_illicit_Qsum,TARIFF.CODE&&ORIGIN.CODE_illicit_Qrate
2994,6406100000&&CNTRY429,0,0
2995,9021390000&&CNTRY765,0,0
2996,1806320000&&CNTRY618,0,0
2997,8703321220&&CNTRY562,0,0
2998,8472900000&&CNTRY680,0,2
2999,2833290000&&CNTRY747,0,2
3000,4802400000&&CNTRY846,0,2
3001,5801900000&&CNTRY277,0,0
3002,8302200000&&CNTRY277,0,0
3003,6601100000&&CNTRY764,0,2
3004,5501300000&&CNTRY376,0,0
3005,2939410000&&CNTRY454,0,0
3006,8703232926&&CNTRY830,0,0
3007,8704231122&&CNTRY376,1,2
3008,4008211000&&CNTRY680,0,2
3009,2909490000&&CNTRY139,0,0
3010,8427900000&&CNTRY770,0,0
3011,8517180000&&CNTRY125,0,0
3012,8703232124&&CNTRY454,0,0
3013,1302190000&&CNTRY139,0,0
3014,8703222900&&CNTRY491,0,0
3015,6207190000&&CNTRY429,0,2
3016,8214200000&&CNTRY364,0,2
3017,8703332100&&CNTRY654,0,0
3018,3207200000&&CNTRY491,0,0
3019,7013990000&&CNTRY216,0,0
3020,8482910000&&CNTRY859,0,2
3021,3004320000&&CNTRY846,0,0
3022,8703321220&&CNTRY881,0,2
3023,3915300000&&CNTRY884,0,0
3024,3506910000&&CNTRY759,0,0
3025,3916200000&&CNTRY277,0,0
3026,3402900000&&CNTRY215,0,2
3027,6802930000&&CNTRY680,0,0
3028,1604150000&&CNTRY653,0,0
3029,8703241134&&CNTRY884,0,0
3030,9402900000&&CNTRY680,0,0
3031,3920200021&&CNTRY263,0,2
3032,2903120000&&CNTRY454,0,0
3033,7314490000&&CNTRY234,0,2
3034,8544110000&&CNTRY615,0,0
3035,8467990000&&CNTRY759,0,0
3036,8714190000&&CNTRY454,0,0
3037,7304240000&&CNTRY113,0,2
3038,7005290000&&CNTRY680,0,0
3039,8703242100&&CNTRY652,0,0
3040,7318130000&&CNTRY837,0,0
3041,8460390000&&CNTRY995,0,0
3042,5603139010&&CNTRY976,0,0
3043,7204290000&&CNTRY123,0,0
3044,8413308099&&CNTRY825,0,0
3045,7017200000&&CNTRY393,0,0
3046,6206400008&&CNTRY994,0,0
3047,8703239091&&CNTRY123,0,0
3048,5515111000&&CNTRY652,0,0
3049,5603111000&&CNTRY216,0,0
3050,3004900019&&CNTRY652,0,2
3051,6205200009&&CNTRY881,0,0
3052,5903909900&&CNTRY843,0,0
3053,8525801990&&CNTRY123,0,0
3054,8480410000&&CNTRY680,0,0
3055,6109100001&&CNTRY528,0,0
3056,8205600000&&CNTRY171,0,0
3057,8708309103&&CNTRY454,0,0
3058,8538909902&&CNTRY976,0,0
3059,3505109000&&CNTRY680,0,2
3060,8523494500&&CNTRY680,0,2
3061,8482800000&&CNTRY976,0,0
3062,8482101000&&CNTRY618,0,0
3063,8443999040&&CNTRY653,0,0
3064,8703239091&&CNTRY680,0,2
3065,8607911000&&CNTRY216,0,0
3066,4415209000&&CNTRY376,0,0
3067,8708309103&&CNTRY846,0,0
3068,9017300009&&CNTRY825,0,0
3069,5514120000&&CNTRY415,0,0
3070,3401110099&&CNTRY764,0,2
3071,8511900001&&CNTRY884,0,2
3072,6302600010&&CNTRY680,0,0
3073,8533210000&&CNTRY759,0,0
3074,8536908599&&CNTRY485,0,0
3075,6309000002&&CNTRY652,0,0
3076,6208910006&&CNTRY994,0,0
3077,2921519000&&CNTRY390,0,2
3078,4107119099&&CNTRY765,0,2
3079,5401109000&&CNTRY825,0,0
3080,8483900000&&CNTRY825,0,0
3081,8477900000&&CNTRY615,0,0
3082,8539290000&&CNTRY637,0,0
3083,7304511000&&CNTRY562,0,0
3084,3405900000&&CNTRY376,0,0
3085,8704321118&&CNTRY321,0,0
3086,8703232124&&CNTRY874,0,0
3087,4008219000&&CNTRY884,0,0
3088,6907900000&&CNTRY376,0,0
3089,4818400049&&CNTRY771,0,0
3090,3610000000&&CNTRY376,0,0
3091,5801900000&&CNTRY378,0,2
3092,8479890000&&CNTRY653,0,2
3093,8421230000&&CNTRY930,0,0
3094,2009900091&&CNTRY491,0,2
3095,8502130016&&CNTRY747,0,2
3096,8703232926&&CNTRY139,0,2
3097,3901300000&&CNTRY825,0,0
3098,2902300000&&CNTRY748,0,2
3099,2909490000&&CNTRY528,0,0
3100,8419191000&&CNTRY376,0,0
3101,1302190000&&CNTRY113,0,0
3102,8302410000&&CNTRY376,1,2
3103,8714110000&&CNTRY618,0,0
3104,8546900000&&CNTRY680,0,0
3105,3204900000&&CNTRY409,0,0
3106,8541500000&&CNTRY930,0,0
3107,8428100000&&CNTRY846,0,2
3108,2909440000&&CNTRY819,0,2
3109,8471700079&&CNTRY759,0,2
3110,7308300000&&CNTRY376,0,2
3111,2916310000&&CNTRY881,0,0
3112,9027800000&&CNTRY713,0,0
3113,8443910000&&CNTRY975,0,2
3114,8517180000&&CNTRY150,0,0
3115,6809190000&&CNTRY765,0,2
3116,8539390000&&CNTRY644,0,0
3117,8703232232&&CNTRY759,0,0
3118,8431430000&&CNTRY713,0,0
3119,2707400000&&CNTRY770,0,0
3120,8703331124&&CNTRY409,0,2
3121,8704232000&&CNTRY454,0,0
3122,7213910092&&CNTRY364,0,0
3123,2403990000&&CNTRY311,0,0
3124,2309100000&&CNTRY252,0,0
3125,8702902099&&CNTRY277,1,2
3126,8703331124&&CNTRY562,0,0
3127,2204100000&&CNTRY378,0,0
3128,8702101319&&CNTRY881,0,2
3129,8703321922&&CNTRY785,0,0
3130,4802400000&&CNTRY920,0,2
3131,8702101319&&CNTRY656,0,0
3132,8518299509&&CNTRY393,0,0
3133,9018908490&&CNTRY166,0,0
3134,4821101000&&CNTRY881,0,0
3135,9603401000&&CNTRY975,0,0
3136,7324900020&&CNTRY716,0,2
3137,8414808040&&CNTRY825,0,0
3138,7318159050&&CNTRY795,0,0
3139,8471606000&&CNTRY994,0,0
3140,8480309000&&CNTRY764,0,2
3141,2520200000&&CNTRY994,0,2
3142,6406209000&&CNTRY881,0,0
3143,5601290090&&CNTRY321,0,0
3144,7019120000&&CNTRY825,0,0
3145,7320901000&&CNTRY881,0,0
3146,8440900000&&CNTRY859,0,0
3147,712909010&&CNTRY618,0,2
3148,8536908591&&CNTRY652,0,2
3149,3302102901&&CNTRY618,0,2
3150,6308000001&&CNTRY846,1,2
3151,7615103001&&CNTRY316,0,2
3152,8536901020&&CNTRY123,0,0
3153,8409990009&&CNTRY216,0,0
3154,3824909795&&CNTRY830,0,2
3155,3907300000&&CNTRY415,0,0
3156,3402901001&&CNTRY389,0,0
3157,6110309902&&CNTRY846,0,0
3158,8421310000&&CNTRY825,0,0
3159,4807008099&&CNTRY454,0,2
3160,4415202001&&CNTRY376,1,2
3161,8452900009&&CNTRY709,0,0
3162,6104390099&&CNTRY994,0,0
3163,5514301000&&CNTRY263,0,0
3164,5804109000&&CNTRY376,0,2
3165,8703239092&&CNTRY825,0,0
3166,2808000009&&CNTRY881,0,0
3167,2821100001&&CNTRY485,0,0
3168,8422400009&&CNTRY959,0,0
3169,8508700090&&CNTRY825,0,0
3170,9026204000&&CNTRY277,0,0
3171,8716400009&&CNTRY881,0,0
3172,5512199001&&CNTRY429,0,2
3173,3923100000&&CNTRY390,0,0
3174,4911109099&&CNTRY976,0,0
3175,3304300001&&CNTRY994,0,0
3176,8484200000&&CNTRY846,0,0
3177,8704311114&&CNTRY562,0,0
3178,6210100000&&CNTRY759,0,0
3179,8703321922&&CNTRY701,0,0
3180,8703321220&&CNTRY527,0,0
3181,8703321118&&CNTRY576,0,2
3182,8521900000&&CNTRY995,0,0
3183,9018490000&&CNTRY528,0,0
3184,8702902099&&CNTRY825,0,2
3185,8467990000&&CNTRY680,0,0
3186,3917231000&&CNTRY138,0,2
3187,7323930000&&CNTRY859,0,2
3188,1702900000&&CNTRY376,0,0
3189,5407910000&&CNTRY322,0,0
3190,7314410000&&CNTRY188,0,0
3191,8703210011&&CNTRY321,0,0
3192,8467290000&&CNTRY759,0,0
3193,709590000&&CNTRY713,0,0
3194,8703321922&&CNTRY264,0,0
3195,8455300000&&CNTRY139,0,2
3196,501000000&&CNTRY364,0,0
3197,8703321220&&CNTRY656,1,2
3198,2301200000&&CNTRY759,0,0
3199,8311200000&&CNTRY216,0,0
3200,3602009000&&CNTRY863,0,0
3201,302640000&&CNTRY759,0,0
3202,1108120012&&CNTRY680,0,0
3203,7208390000&&CNTRY770,0,2
3204,2713200000&&CNTRY680,0,0
3205,2102300000&&CNTRY311,0,0
3206,3004400000&&CNTRY825,0,0
3207,9603900000&&CNTRY546,0,2
3208,8438800000&&CNTRY528,0,0
3209,8703232124&&CNTRY234,0,0
3210,8703221113&&CNTRY436,0,2
3211,8703210011&&CNTRY316,0,0
3212,8907900000&&CNTRY527,0,0
3213,8502200021&&CNTRY188,0,0
3214,8703231221&&CNTRY713,0,0
3215,2815110000&&CNTRY113,0,0
3216,8704212025&&CNTRY920,0,0
3217,3401200000&&CNTRY328,0,0
3218,4802550056&&CNTRY920,0,0
3219,8704231924&&CNTRY656,0,0
3220,4800000000&&CNTRY409,0,0
3221,3006500000&&CNTRY188,0,2
3222,8704212025&&CNTRY656,0,2
3223,6006230000&&CNTRY615,0,2
3224,7320208199&&CNTRY976,0,0
3225,5811000030&&CNTRY825,0,0
3226,3304990009&&CNTRY376,0,0
3227,8708949900&&CNTRY959,0,0
3228,8207909900&&CNTRY764,0,0
3229,8451300000&&CNTRY825,0,0
3230,8515900000&&CNTRY825,0,2
3231,8544429011&&CNTRY376,0,2
3232,9019200003&&CNTRY376,0,0
3233,8443991090&&CNTRY652,0,2
3234,5401101200&&CNTRY123,0,0
3235,5509620000&&CNTRY713,0,0
3236,4113900000&&CNTRY756,0,0
3237,8536109001&&CNTRY976,0,0
3238,2836999009&&CNTRY562,0,0
3239,1209918099&&CNTRY962,0,0
3240,9612108002&&CNTRY654,0,0
3241,8703229050&&CNTRY770,0,0
3242,8304000000&&CNTRY376,0,0
3243,8536619090&&CNTRY454,0,0
3244,6117900009&&CNTRY454,0,0
3245,8414308900&&CNTRY171,0,0
3246,8536700090&&CNTRY863,0,0
3247,4823200009&&CNTRY415,0,0
3248,9022210000&&CNTRY825,0,0
3249,8309909030&&CNTRY376,0,0
3250,8409990005&&CNTRY785,0,0
3251,6107210001&&CNTRY680,0,0
3252,6406209000&&CNTRY994,0,0
3253,9607190000&&CNTRY701,0,0
3254,2818200000&&CNTRY123,0,0
3255,9804000000&&CNTRY920,0,0
3256,3907209900&&CNTRY771,0,0
3257,501000000&&CNTRY317,0,2
3258,6406201000&&CNTRY376,0,0
3259,5806329021&&CNTRY123,0,0
3260,8708803500&&CNTRY389,0,2
3261,2710194890&&CNTRY994,0,2
3262,7602001900&&CNTRY445,0,0
3263,8303009000&&CNTRY701,0,2
3264,9027905009&&CNTRY652,0,2
3265,7326909889&&CNTRY615,0,0
3266,8443999030&&CNTRY415,0,0
3267,9406008003&&CNTRY234,0,2
3268,8473308000&&CNTRY376,0,0
3269,4911109091&&CNTRY976,0,0
3270,8525809910&&CNTRY920,0,2
3271,4016930000&&CNTRY795,0,2
3272,7326909889&&CNTRY485,0,0
3273,2204101102&&CNTRY994,0,0
3274,8548909000&&CNTRY765,0,2
3275,3920999000&&CNTRY184,0,0
3276,8703231226&&CNTRY364,0,0
3277,8703232926&&CNTRY764,0,0
3278,6911100000&&CNTRY680,0,0
3279,8703331226&&CNTRY454,0,2
3280,2520200000&&CNTRY759,0,2
3281,8704212025&&CNTRY323,0,2
3282,6910900000&&CNTRY939,0,0
3283,2914220000&&CNTRY765,0,0
3284,8703232926&&CNTRY216,0,0
3285,8481800000&&CNTRY615,0,0
3286,8523520000&&CNTRY874,0,0
3287,3208201000&&CNTRY830,0,0
3288,3926909099&&CNTRY884,0,2
3289,9026200000&&CNTRY680,0,0
3290,3302100000&&CNTRY615,0,0
3291,6310900091&&CNTRY454,0,0
3292,4011630000&&CNTRY277,0,0
3293,3902100000&&CNTRY376,0,0
3294,3912390000&&CNTRY756,0,0
3295,3912310000&&CNTRY277,0,0
3296,3105200000&&CNTRY576,0,0
3297,8473300000&&CNTRY859,0,0
3298,3006200000&&CNTRY317,0,2
3299,5903100000&&CNTRY745,0,0
3300,8703241128&&CNTRY874,0,0
3301,8703231221&&CNTRY262,0,0
3302,7407100000&&CNTRY262,0,0
3303,8703221920&&CNTRY884,0,2
3304,8428100000&&CNTRY349,0,0
3305,5901100000&&CNTRY234,0,0
3306,3925200000&&CNTRY262,0,0
3307,7612900091&&CNTRY311,0,0
3308,3204190000&&CNTRY825,0,0
3309,5901900000&&CNTRY680,1,2
3310,2924290000&&CNTRY759,0,0
3311,2916120000&&CNTRY680,0,0
3312,8419500000&&CNTRY680,0,0
3313,2903110000&&CNTRY184,0,0
3314,3004900000&&CNTRY881,0,0
3315,401300000&&CNTRY680,0,2
3316,2008119000&&CNTRY555,0,0
3317,8506500000&&CNTRY680,0,0
3318,7407290000&&CNTRY252,0,2
3319,8528721900&&CNTRY884,0,0
3320,8419890000&&CNTRY376,0,0
3321,6802930000&&CNTRY759,1,2
3322,8481300000&&CNTRY881,0,0
3323,5401100000&&CNTRY376,0,0
3324,4202120012&&CNTRY819,0,2
3325,6402120013&&CNTRY770,0,2
3326,7321900000&&CNTRY264,0,2
3327,8708700000&&CNTRY680,0,0
3328,8513100000&&CNTRY277,0,0
3329,305510052&&CNTRY376,0,0
3330,4809200000&&CNTRY644,0,2
3331,8703900000&&CNTRY825,1,2
3332,3904100000&&CNTRY680,0,0
3333,7323100000&&CNTRY975,0,2
3334,8702101319&&CNTRY830,0,0
3335,5204190000&&CNTRY562,0,0
3336,8703231226&&CNTRY407,0,0
3337,8421220024&&CNTRY277,0,2
3338,8703210011&&CNTRY881,1,2
3339,8506800000&&CNTRY680,0,0
3340,8703321922&&CNTRY321,0,0
3341,2929900000&&CNTRY618,0,0
3342,3307200000&&CNTRY759,0,0
3343,8703331928&&CNTRY959,0,2
3344,7013370000&&CNTRY150,0,0
3345,8537200000&&CNTRY527,0,0
3346,8703232225&&CNTRY322,0,0
3347,4411140000&&CNTRY759,0,0
3348,8430490000&&CNTRY409,0,2
3349,8703232926&&CNTRY765,0,0
3350,9032890000&&CNTRY884,0,0
3351,8703331928&&CNTRY576,0,0
3352,8482910000&&CNTRY709,0,2
3353,8703232232&&CNTRY125,0,2
3354,2710193100&&CNTRY322,0,2
3355,8302490000&&CNTRY915,0,0
3356,3002300000&&CNTRY316,0,0
3357,2916310000&&CNTRY759,0,0
3358,3923299080&&CNTRY680,0,2
3359,8708939009&&CNTRY558,0,0
3360,4205009096&&CNTRY123,0,0
3361,8541210000&&CNTRY125,0,0
3362,8202310009&&CNTRY771,0,0
3363,6406909099&&CNTRY139,0,2
3364,7326909889&&CNTRY846,0,0
3365,3814009001&&CNTRY976,0,0
3366,2710194790&&CNTRY846,0,0
3367,4107199099&&CNTRY994,1,2
3368,8421990020&&CNTRY846,0,0
3369,7306900000&&CNTRY680,0,0
3370,8536908599&&CNTRY123,0,0
3371,8703319090&&CNTRY994,0,0
3372,4910000099&&CNTRY846,0,0
3373,8451400000&&CNTRY454,0,0
3374,7604210000&&CNTRY409,0,2
3375,4901990095&&CNTRY976,0,0
3376,9030390000&&CNTRY376,0,0
3377,7304410000&&CNTRY980,0,0
3378,8536901099&&CNTRY680,0,2
3379,3506910000&&CNTRY994,0,0
3380,8409910003&&CNTRY846,0,0
3381,9801000000&&CNTRY454,0,0
3382,8443393902&&CNTRY680,0,2
3383,9607110000&&CNTRY376,0,0
3384,4415209000&&CNTRY825,0,0
3385,7019320000&&CNTRY976,0,0
3386,3210001019&&CNTRY920,0,0
3387,8541100000&&CNTRY376,0,0
3388,4819100000&&CNTRY846,0,0
3389,3912310000&&CNTRY376,0,0
3390,8432301900&&CNTRY123,0,0
3391,8536700090&&CNTRY277,0,0
3392,9032102000&&CNTRY123,1,2
3393,1206009900&&CNTRY747,0,0
3394,4202221000&&CNTRY976,0,0
3395,8538909902&&CNTRY627,0,0
3396,8544300090&&CNTRY825,0,2
3397,8515190000&&CNTRY113,0,0
3398,3926909229&&CNTRY920,0,0
3399,8409990001&&CNTRY153,0,2
3400,1201900000&&CNTRY317,0,0
3401,6217900009&&CNTRY680,0,0
3402,5407940000&&CNTRY123,0,0
3403,5210490009&&CNTRY825,0,0
3404,4811900010&&CNTRY881,0,0
3405,3926909720&&CNTRY454,0,2
3406,5401101200&&CNTRY652,0,0
3407,9011800000&&CNTRY429,0,2
3408,3921190000&&CNTRY485,0,0
3409,8536908591&&CNTRY846,0,0
3410,7318156150&&CNTRY764,0,0
3411,4016930000&&CNTRY976,0,0
3412,7326909889&&CNTRY558,0,0
3413,8542323900&&CNTRY976,0,0
3414,8451210000&&CNTRY652,0,0
3415,8716310000&&CNTRY994,0,0
3416,8481801900&&CNTRY562,0,0
3417,4016930000&&CNTRY846,0,0
3418,3909509090&&CNTRY994,0,0
3419,8452300000&&CNTRY627,0,0
3420,1805000000&&CNTRY236,0,0
3421,3925902000&&CNTRY407,0,0
3422,3901300000&&CNTRY125,0,0
3423,8504310000&&CNTRY277,0,0
3424,8703321220&&CNTRY652,0,0
3425,7208540000&&CNTRY618,0,0
3426,8501610000&&CNTRY653,0,0
3427,9405500000&&CNTRY562,0,0
3428,9506110000&&CNTRY262,0,0
3429,3808911092&&CNTRY262,0,2
3430,3405300000&&CNTRY473,0,0
3431,3921900091&&CNTRY884,0,0
3432,1905320000&&CNTRY881,0,0
3433,8426200000&&CNTRY546,0,0
3434,9504200000&&CNTRY528,0,0
3435,9006590000&&CNTRY825,0,0
3436,2815110000&&CNTRY284,0,2
3437,8517180000&&CNTRY263,0,0
3438,4911999099&&CNTRY994,1,2
3439,6907900000&&CNTRY454,0,0
3440,8536900000&&CNTRY975,0,0
3441,8703231119&&CNTRY491,0,0
3442,8511900000&&CNTRY615,0,0
3443,2501002000&&CNTRY771,0,0
3444,8702102029&&CNTRY277,0,0
3445,303790000&&CNTRY277,0,0
3446,8407340000&&CNTRY277,0,2
3447,8428900000&&CNTRY680,0,0
3448,712200000&&CNTRY216,0,0
3449,3901300000&&CNTRY323,0,0
3450,8516500000&&CNTRY680,0,0
3451,8517180000&&CNTRY939,0,0
3452,6310100011&&CNTRY615,0,0
3453,6704190000&&CNTRY701,0,0
3454,7325999000&&CNTRY984,0,2
3455,8803900000&&CNTRY680,0,2
3456,4418900000&&CNTRY959,0,0
3457,8703900000&&CNTRY959,0,0
3458,8703221917&&CNTRY349,0,0
3459,7009920000&&CNTRY759,0,0
3460,2833220000&&CNTRY759,0,0
3461,7323100000&&CNTRY976,0,2
3462,3507900000&&CNTRY759,0,0
3463,2836300000&&CNTRY656,0,2
3464,6111200000&&CNTRY618,0,0
3465,7325999009&&CNTRY994,0,0
3466,4113900000&&CNTRY123,0,2
3467,5911400000&&CNTRY994,0,0
3468,4821101000&&CNTRY415,0,0
3469,8716398090&&CNTRY920,0,0
3470,6813810000&&CNTRY316,0,0
3471,6308000001&&CNTRY376,0,2
3472,8311900002&&CNTRY680,0,0
3473,5401101800&&CNTRY994,0,0
3474,8205598009&&CNTRY689,0,0
3475,9017801010&&CNTRY785,0,0
3476,3904220009&&CNTRY184,0,0
3477,4415209000&&CNTRY276,0,0
3478,8536508096&&CNTRY334,0,2
3479,8308900091&&CNTRY680,0,0
3480,6201930003&&CNTRY994,0,0
3481,8423101000&&CNTRY317,0,2
3482,9102190000&&CNTRY485,0,0
3483,5407920000&&CNTRY379,0,0
3484,3907911000&&CNTRY994,0,0
3485,6204629001&&CNTRY994,0,2
3486,2836300000&&CNTRY252,0,0
3487,8511900009&&CNTRY322,0,0
3488,3910000090&&CNTRY995,0,2
3489,3808939019&&CNTRY994,0,0
3490,9031803801&&CNTRY184,0,2
3491,9603901000&&CNTRY994,0,0
3492,8479908000&&CNTRY454,0,0
3493,8533210000&&CNTRY123,0,0
3494,7307929000&&CNTRY376,0,0
3495,6303929000&&CNTRY959,0,2
3496,8423900009&&CNTRY825,0,2
3497,8414801910&&CNTRY680,0,0
3498,6110309903&&CNTRY652,0,2
3499,4205001901&&CNTRY770,0,0
3500,8542399090&&CNTRY123,0,0
3501,1005900000&&CNTRY123,0,0
3502,8714102000&&CNTRY846,0,0
3503,4202321009&&CNTRY994,0,0
3504,8708999796&&CNTRY994,0,2
3505,8474310020&&CNTRY153,0,0
3506,7412200000&&CNTRY376,0,0
3507,9021109009&&CNTRY335,0,0
3508,8708939009&&CNTRY825,0,0
3509,5807101010&&CNTRY554,0,0
3510,3404900009&&CNTRY615,0,0
3511,8708999730&&CNTRY994,0,0
3512,8207909900&&CNTRY409,0,2
3513,1806310000&&CNTRY994,0,0
3514,3919900000&&CNTRY859,0,0
3515,8544429011&&CNTRY429,0,0
3516,5208390000&&CNTRY456,0,0
3517,8413810010&&CNTRY680,0,0
3518,3923301000&&CNTRY713,0,0
3519,8302300000&&CNTRY846,0,0
3520,5408310001&&CNTRY415,0,0
3521,6203439009&&CNTRY351,0,2
3522,8443999090&&CNTRY713,0,0
3523,2915704000&&CNTRY264,0,0
3524,5209320000&&CNTRY555,0,2
3525,8505902001&&CNTRY125,0,0
3526,709910000&&CNTRY527,0,0
3527,7013379199&&CNTRY652,0,0
3528,2901210009&&CNTRY976,0,2
3529,3926909229&&CNTRY680,0,0
3530,8704311114&&CNTRY311,0,0
3531,8535100000&&CNTRY438,0,2
3532,7117900000&&CNTRY378,0,0
3533,305510052&&CNTRY713,0,0
3534,7213910092&&CNTRY759,0,2
3535,8703241128&&CNTRY276,0,2
3536,5508500000&&CNTRY830,0,0
3537,8409990000&&CNTRY653,0,0
3538,5904900000&&CNTRY915,0,0
3539,8416100000&&CNTRY709,0,0
3540,3506100000&&CNTRY680,0,0
3541,8702101216&&CNTRY491,0,0
3542,8504220000&&CNTRY756,0,0
3543,8704211121&&CNTRY133,0,0
3544,7323930000&&CNTRY747,0,0
3545,8703231119&&CNTRY480,0,0
3546,3923210000&&CNTRY454,0,0
3547,6310900099&&CNTRY881,0,0
3548,4802690000&&CNTRY919,0,0
3549,3925900000&&CNTRY680,0,2
3550,2707300000&&CNTRY429,0,2
3551,303740000&&CNTRY759,0,2
3552,8702902099&&CNTRY263,0,2
3553,8452290000&&CNTRY615,0,0
3554,1108120012&&CNTRY262,0,0
3555,7005210000&&CNTRY680,0,0
3556,9026200000&&CNTRY825,0,2
3557,2401200000&&CNTRY713,0,2
3558,4800000000&&CNTRY756,0,0
3559,7615190000&&CNTRY975,0,2
3560,2933910000&&CNTRY528,0,2
3561,7410000000&&CNTRY837,0,0
3562,3003900000&&CNTRY429,0,0
3563,8462990000&&CNTRY576,0,2
3564,8448590000&&CNTRY747,0,0
3565,3909500000&&CNTRY680,0,0
3566,2918230000&&CNTRY659,0,0
3567,4802550059&&CNTRY759,0,2
3568,8714190000&&CNTRY881,0,0
3569,8703331226&&CNTRY653,0,0
3570,8703210011&&CNTRY920,0,0
3571,8714910093&&CNTRY884,0,0
3572,4802100000&&CNTRY277,0,2
3573,8803900000&&CNTRY846,0,0
3574,8502120015&&CNTRY759,0,0
3575,8704900099&&CNTRY622,0,0
3576,9017300009&&CNTRY680,0,0
3577,2936230000&&CNTRY994,0,2
3578,9607190000&&CNTRY351,0,0
3579,7204219000&&CNTRY976,0,0
3580,8413603100&&CNTRY652,0,0
3581,6112120009&&CNTRY866,0,0
3582,6203120009&&CNTRY407,0,0
3583,8517120010&&CNTRY652,0,0
3584,6908909399&&CNTRY389,0,0
3585,3923409000&&CNTRY976,0,0
3586,4410119000&&CNTRY562,0,2
3587,3926909799&&CNTRY846,0,0
3588,8703229050&&CNTRY881,0,2
3589,5516110000&&CNTRY825,0,0
3590,8504409090&&CNTRY976,0,0
3591,8536901099&&CNTRY123,1,2
3592,2520200000&&CNTRY376,0,0
3593,4010350020&&CNTRY859,0,0
3594,5509520001&&CNTRY881,0,0
3595,9018908439&&CNTRY846,0,2
3596,3910000090&&CNTRY680,0,0
3597,9105290090&&CNTRY830,0,2
3598,8302415009&&CNTRY976,0,0
3599,3923100000&&CNTRY976,0,0
3600,5208190000&&CNTRY656,0,0
3601,6406201000&&CNTRY994,0,0
3602,7213914900&&CNTRY527,0,0
3603,8504901100&&CNTRY123,0,2
3604,3214109000&&CNTRY795,0,2
3605,6305339001&&CNTRY284,0,0
3606,8474909000&&CNTRY376,0,0
3607,8452290001&&CNTRY994,0,0
3608,303431000&&CNTRY562,0,0
3609,5401101800&&CNTRY140,0,0
3610,3402209002&&CNTRY915,0,0
3611,8501101000&&CNTRY674,0,0
3612,7214300010&&CNTRY716,0,0
3613,2401103509&&CNTRY334,0,0
3614,8471705000&&CNTRY976,0,0
3615,2204217803&&CNTRY994,0,2
3616,5208310000&&CNTRY846,0,0
3617,7321890001&&CNTRY316,0,2
3618,4015900000&&CNTRY713,0,0
3619,8425420090&&CNTRY618,0,0
3620,8421990090&&CNTRY825,0,0
3621,8716800009&&CNTRY748,0,2
3622,9613100000&&CNTRY976,0,0
3623,8703319090&&CNTRY576,0,0
3624,8711409000&&CNTRY825,0,0
3625,8421290000&&CNTRY473,0,2
3626,8702101319&&CNTRY917,0,0
3627,8704322000&&CNTRY830,0,2
3628,8704221100&&CNTRY654,0,0
3629,3903200000&&CNTRY376,0,0
3630,8484200000&&CNTRY316,0,2
3631,8437100000&&CNTRY994,0,0
3632,8703331928&&CNTRY555,0,0
3633,8513900000&&CNTRY884,0,0
3634,3907600069&&CNTRY680,0,0
3635,8703241238&&CNTRY133,0,2
3636,8703241128&&CNTRY378,0,0
3637,2827200000&&CNTRY759,0,0
3638,2820000000&&CNTRY376,0,0
3639,8438800000&&CNTRY615,0,0
3640,7213910092&&CNTRY393,0,0
3641,8716100000&&CNTRY680,0,0
3642,8436210000&&CNTRY343,0,0
3643,2902440000&&CNTRY994,0,0
3644,3904210000&&CNTRY759,0,0
3645,8703221215&&CNTRY859,0,0
3646,8702902097&&CNTRY376,0,0
3647,8473300000&&CNTRY830,0,0
3648,9403200000&&CNTRY378,0,0
3649,8703242100&&CNTRY920,0,0
3650,8703231119&&CNTRY653,0,2
3651,4403100000&&CNTRY316,0,0
3652,8703242900&&CNTRY454,0,2
3653,8527199000&&CNTRY919,0,2
3654,5911900000&&CNTRY618,0,2
3655,9021100000&&CNTRY264,0,0
3656,8703900000&&CNTRY407,0,0
3657,6406200000&&CNTRY680,0,0
3658,8517180000&&CNTRY316,0,0
3659,1302130000&&CNTRY323,0,0
3660,6810190000&&CNTRY994,0,0
3661,5603130000&&CNTRY874,0,0
3662,8701900092&&CNTRY884,0,2
3663,9600000000&&CNTRY713,0,0
3664,4418400000&&CNTRY216,0,2
3665,8413200000&&CNTRY656,0,2
3666,6301900000&&CNTRY328,0,0
3667,8408900000&&CNTRY759,0,0
3668,6702900000&&CNTRY171,0,0
3669,2830100000&&CNTRY939,0,2
3670,8517180000&&CNTRY262,0,0
3671,8703232124&&CNTRY615,0,0
3672,8418690000&&CNTRY351,0,0
3673,5500000000&&CNTRY884,0,0
3674,7003120000&&CNTRY252,0,0
3675,305590059&&CNTRY407,0,0
3676,4008211000&&CNTRY988,0,0
3677,9503009501&&CNTRY976,0,0
3678,8409910002&&CNTRY680,0,0
3679,4421909799&&CNTRY555,0,2
3680,8452300000&&CNTRY123,0,0
3681,3506990020&&CNTRY764,0,0
3682,4804395100&&CNTRY284,0,0
3683,8471705000&&CNTRY846,0,0
3684,8466922000&&CNTRY825,0,0
3685,8501310001&&CNTRY975,0,0
3686,3926909779&&CNTRY321,0,2
3687,8507800000&&CNTRY881,0,2
3688,8542329090&&CNTRY376,0,0
3689,5806200000&&CNTRY454,0,0
