,IMPORTER.TIN,IMPORTER.TIN_illicit_Qsum,IMPORTER.TIN_illicit_Qrate
4113,IMP118321,1,3
4114,IMP410998,0,0
4115,IMP597055,1,3
4116,IMP454547,0,0
4117,IMPO19684,1,3
4118,IMPO12978,0,3
4119,IMPO14338,0,0
4120,IMPO10804,0,3
4121,IMPO13855,0,0
4122,IMPO19649,0,0
4123,IMPO10589,0,0
4124,IMPO19384,1,3
4125,IMPO19899,0,0
4126,IMPO19364,0,0
4127,IMPO14707,0,0
4128,IMPO16455,0,0
4129,IMPO17566,0,3
4130,IMPO10321,0,0
4131,IMPO11976,0,0
4132,IMPO18932,0,0
4133,IMPO10650,0,3
4134,IMPO10582,0,0
4135,IMPO13561,1,3
4136,IMPO11855,0,3
4137,IMPO13789,1,3
4138,IMPO14815,0,3
4139,IMPO17178,0,3
4140,IMPO14551,0,3
4141,IMPO18697,0,3
4142,IMPO11188,1,3
4143,IMPO13247,0,0
4144,IMPO17913,1,3
4145,IMPO18164,0,3
4146,IMPO15756,0,3
4147,IMPO19003,1,3
4148,IMPO13894,0,3
4149,IMPO17091,1,3
4150,IMPO12376,1,3
4151,IMPO14259,0,0
4152,IMPO18588,1,3
4153,IMPO17986,0,3
4154,IMP791348,1,3
4155,IMP755913,0,0
4156,IMP187870,0,0
4157,IMP235398,0,0
4158,IMP304745,0,0
4159,IMP223882,0,0
4160,IMP240313,1,3
4161,IMP842503,0,3
4162,IMP419010,0,0
4163,IMP605493,0,0
4164,IMP902079,0,0
4165,IMP427687,0,0
4166,IMP839600,0,0
4167,IMP538442,0,0
4168,IMP241553,0,0
4169,IMP708485,0,0
4170,IMP866339,0,3
4171,IMP833078,0,0
4172,IMP978293,0,3
4173,IMP258218,0,0
4174,IMP502214,0,0
4175,IMP562113,0,0
4176,IMP749048,0,3
4177,IMP155958,0,3
4178,IMP202515,0,0
4179,IMP477925,0,3
4180,IMP941868,0,0
4181,IMP657032,1,3
4182,IMP942284,0,3
4183,IMPO19554,1,3
4184,IMPO15849,0,3
4185,IMPO16429,1,3
4186,IMPO11998,0,0
4187,IMPO16462,0,3
4188,IMPO13355,0,3
4189,IMPO16918,1,3
4190,IMPO11810,0,0
4191,IMPO10539,0,0
4192,IMPO15492,1,3
4193,IMPO12809,0,3
4194,IMPO19148,2,3
4195,IMPO18348,1,3
4196,IMPO10070,0,3
4197,IMPO17396,0,3
4198,IMPO18849,1,3
4199,IMPO14402,0,0
4200,IMPO12785,0,0
4201,IMPO10672,0,0
4202,IMPO19809,0,3
4203,IMPO16315,1,3
4204,IMPO17329,2,3
4205,IMP200610,0,0
4206,IMP647160,0,3
4207,IMP440317,0,3
4208,IMP872553,0,3
4209,IMP939190,0,3
4210,IMP848917,0,0
4211,IMP810862,0,0
4212,IMP259604,0,3
4213,IMP563766,0,0
4214,IMP813765,0,0
4215,IMP994823,0,0
4216,IMP750663,0,0
4217,IMP602858,0,0
4218,IMP544706,0,0
4219,IMP485242,0,0
4220,IMP177495,0,3
4221,IMP159606,0,3
4222,IMP774354,0,3
4223,IMP530873,0,3
4224,IMP776291,0,3
4225,IMP928968,0,3
4226,IMP482584,0,0
4227,IMP323737,0,3
4228,IMP863876,0,0
4229,IMP329883,0,0
4230,IMPO13124,0,0
4231,IMPO12993,0,3
4232,IMPO14506,0,0
4233,IMPO15064,1,3
4234,IMPO14053,0,3
4235,IMPO11062,0,3
4236,IMPO19361,0,3
4237,IMPO18468,0,3
4238,IMPO11192,0,3
4239,IMPO19948,0,3
4240,IMPO14617,0,0
4241,IMPO14441,1,3
4242,IMPO12953,0,3
4243,IMPO18050,0,0
4244,IMPO18087,0,0
4245,IMPO18509,1,3
4246,IMPO13018,0,0
4247,IMPO15896,0,0
4248,IMPO17929,1,3
4249,IMPO17959,0,0
4250,IMPO12839,0,3
4251,IMPO17388,0,3
4252,IMPO11836,1,3
4253,IMPO19400,0,3
4254,IMPO14630,1,3
4255,IMPO10418,0,0
4256,IMPO13408,1,3
4257,IMPO15698,0,3
4258,IMPO10882,0,3
4259,IMP644250,0,3
4260,IMP902059,0,3
4261,IMP955412,0,0
4262,IMP518750,0,3
4263,IMP509322,0,0
4264,IMP222208,0,3
4265,IMP956649,0,0
4266,IMP283433,0,3
4267,IMP660236,0,0
4268,IMP227958,0,0
4269,IMP311144,1,3
4270,IMP389335,0,0
4271,IMP830522,0,0
4272,IMP454926,0,3
4273,IMP159786,0,0
4274,IMP513720,0,3
4275,IMP785793,0,3
4276,IMP716581,0,3
4277,IMP527182,0,0
4278,IMP190500,0,0
4279,IMP627064,0,0
4280,IMP985598,0,3
4281,IMP316397,0,0
4282,IMP223091,0,3
4283,IMP845852,1,3
4284,IMP838896,0,0
4285,IMP471198,0,0
4286,IMPO16484,0,3
4287,IMPO16546,0,0
4288,IMPO12270,0,0
4289,IMPO17339,0,0
4290,IMPO15919,0,3
4291,IMPO10412,0,0
4292,IMPO13328,0,3
4293,IMPO17423,0,3
4294,IMPO16364,0,3
4295,IMPO11073,0,0
4296,IMPO17390,1,3
4297,IMPO16346,0,3
4298,IMPO14962,0,3
4299,IMPO14931,0,3
4300,IMPO17174,0,3
4301,IMPO10681,0,0
4302,IMPO15072,0,3
4303,IMPO14603,0,0
4304,IMPO18032,0,0
4305,IMPO11107,0,0
4306,IMPO17211,1,3
4307,IMPO13879,1,3
4308,IMPO14664,0,3
4309,IMPO14092,0,0
4310,IMPO16287,0,0
4311,IMPO11183,0,0
4312,IMPO10061,1,3
4313,IMPO19014,0,3
4314,IMPO19447,1,3
4315,IMPO10133,0,0
4316,IMPO19486,0,0
4317,IMPO17732,0,3
4318,IMPO13756,0,0
4319,IMP965920,1,3
4320,IMP672359,0,3
4321,IMP878128,0,0
4322,IMP303225,0,0
4323,IMP787426,0,3
4324,IMP697854,1,3
4325,IMP258099,0,0
4326,IMP407292,0,0
4327,IMP159098,0,3
4328,IMP685554,0,3
4329,IMP196874,0,0
4330,IMP855192,1,3
4331,IMP322192,0,0
4332,IMP939657,0,3
4333,IMP435753,0,0
4334,IMP917536,0,3
4335,IMP500690,1,3
4336,IMP953287,0,0
4337,IMP839484,0,3
4338,IMP920447,0,3
4339,IMP557701,0,0
4340,IMP248416,0,0
4341,IMP259171,0,0
4342,IMP517008,0,3
4343,IMPO17299,0,0
4344,IMPO10441,0,0
4345,IMPO17128,1,3
4346,IMPO12722,0,0
4347,IMPO11649,0,0
4348,IMPO16149,1,3
4349,IMPO17844,0,3
4350,IMPO12760,0,0
4351,IMPO17169,1,3
4352,IMPO14880,0,3
4353,IMPO13870,1,3
4354,IMPO13610,0,0
4355,IMPO16853,0,3
4356,IMPO14307,0,3
4357,IMPO11956,0,0
4358,IMP510533,1,3
4359,IMP879586,1,3
4360,IMP313774,0,0
4361,IMP970373,0,0
4362,IMP404141,0,0
4363,IMP218606,0,0
4364,IMP486698,0,0
4365,IMP161139,1,3
4366,IMP434386,0,0
4367,IMP278037,0,3
4368,IMP255034,0,0
4369,IMP171179,0,0
4370,IMP934200,0,3
4371,IMP365629,0,3
4372,IMP369085,0,0
4373,IMP857804,0,0
4374,IMP281874,0,3
4375,IMP919606,0,0
4376,IMP695734,0,3
4377,IMP606920,0,0
4378,IMP176892,0,3
4379,IMP150751,0,0
4380,IMP795429,0,0
4381,IMP481677,0,0
4382,IMP772279,0,0
4383,IMPO11203,0,3
4384,IMPO17305,0,0
4385,IMPO17995,0,3
4386,IMPO19220,0,0
4387,IMPO17486,1,3
4388,IMPO12023,0,3
4389,IMPO16120,0,0
4390,IMPO13045,1,3
4391,IMPO15714,0,0
4392,IMPO15667,0,0
4393,IMPO17320,0,3
4394,IMPO13224,0,0
4395,IMPO13624,1,3
4396,IMPO13058,0,0
4397,IMPO14420,0,0
4398,IMPO15209,0,0
4399,IMPO10745,0,0
4400,IMPO11182,0,3
4401,IMPO10042,0,3
4402,IMPO15489,0,0
4403,IMPO10818,0,3
4404,IMPO10526,0,3
4405,IMPO16119,1,3
4406,IMPO18404,0,3
4407,IMPO11729,0,0
4408,IMPO18157,0,3
4409,IMPO10521,0,0
4410,IMPO14792,0,3
4411,IMP655373,0,0
4412,IMP802780,0,3
4413,IMP378851,0,0
4414,IMP907238,0,3
4415,IMP695432,0,3
4416,IMP665282,0,0
4417,IMP704085,0,0
4418,IMP962601,0,0
4419,IMP856695,1,3
4420,IMP506039,0,0
4421,IMP247982,0,0
4422,IMP212959,0,3
4423,IMP367641,1,3
4424,IMP104936,0,0
4425,IMP915808,0,3
4426,IMP378029,0,3
4427,IMP572201,0,3
4428,IMP648063,0,0
4429,IMP188008,1,3
4430,IMP290907,0,0
4431,IMP492130,0,0
4432,IMP786111,0,0
4433,IMP509845,1,3
4434,IMP177873,0,0
4435,IMP517902,0,0
4436,IMP468809,1,3
4437,IMP983495,1,3
4438,IMP776979,0,0
4439,IMP117673,1,3
4440,IMP297619,0,0
4441,IMP251073,0,0
4442,IMP103505,0,3
4443,IMP558241,0,3
4444,IMP299003,0,0
4445,IMP443931,0,0
4446,IMP792791,0,3
4447,IMPO17930,0,3
4448,IMPO16180,1,3
4449,IMPO15056,0,0
4450,IMPO15432,1,3
4451,IMPO18279,0,0
4452,IMPO18730,1,3
4453,IMPO12604,0,3
4454,IMPO19351,2,3
4455,IMPO11372,0,3
4456,IMPO14169,1,3
4457,IMPO16037,1,3
4458,IMPO19336,0,3
4459,IMPO19755,0,0
4460,IMPO10571,0,0
4461,IMPO17766,1,3
4462,IMPO13747,1,3
4463,IMPO18761,0,0
4464,IMPO18569,0,3
4465,IMPO17228,0,0
4466,IMPO18955,0,0
4467,IMPO19339,0,0
4468,IMPO18097,0,3
4469,IMPO16703,0,0
4470,IMPO18551,0,0
4471,IMPO15726,0,0
4472,IMPO12636,0,3
4473,IMPO18413,0,3
4474,IMP965209,0,3
4475,IMP456694,0,0
4476,IMP984296,0,3
4477,IMP435412,0,0
4478,IMP559861,0,3
4479,IMP522575,0,0
4480,IMP826316,0,3
4481,IMP823310,0,0
4482,IMP994729,1,3
4483,IMP469070,1,3
4484,IMP622213,1,3
4485,IMP647181,0,0
4486,IMP586582,1,3
4487,IMP177596,0,3
4488,IMP352558,0,0
4489,IMP796217,0,0
4490,IMP990725,1,3
4491,IMP701256,0,0
4492,IMP378028,1,3
4493,IMP532352,0,3
4494,IMP524791,0,3
4495,IMP581647,1,3
4496,IMP648577,0,0
4497,IMP963208,1,3
4498,IMP597894,1,3
4499,IMP986246,0,3
4500,IMP445444,0,0
4501,IMP279721,0,3
4502,IMPO19168,0,3
4503,IMPO18405,0,0
4504,IMPO18593,0,3
4505,IMPO13147,0,0
4506,IMPO13575,0,0
4507,IMPO15758,0,3
4508,IMPO13402,0,0
4509,IMPO15978,0,0
4510,IMPO16089,2,3
4511,IMPO18046,0,0
4512,IMPO13640,0,0
4513,IMPO11276,0,0
4514,IMPO11586,1,3
4515,IMPO12800,0,3
4516,IMPO18919,0,0
4517,IMPO11186,0,3
4518,IMPO13742,0,0
4519,IMPO10170,1,3
4520,IMPO17529,1,3
4521,IMPO16581,2,3
4522,IMPO18327,0,3
4523,IMPO16988,1,3
4524,IMPO14505,0,3
4525,IMPO13100,1,3
4526,IMP817682,0,3
4527,IMP195727,0,3
4528,IMP703636,0,0
4529,IMP828296,0,3
4530,IMP865194,0,0
4531,IMP325743,0,3
4532,IMP411294,1,3
4533,IMP310784,0,0
4534,IMP763156,0,0
4535,IMP745977,0,3
4536,IMP377575,0,0
4537,IMP352050,0,0
4538,IMP150819,0,0
4539,IMP741333,0,3
4540,IMP966217,0,0
4541,IMP105445,0,0
4542,IMP275750,0,0
4543,IMP162227,0,0
4544,IMP916973,0,0
4545,IMP702352,0,3
4546,IMP399866,0,3
4547,IMP155819,0,3
4548,IMP245200,0,3
4549,IMP445424,0,0
4550,IMP729712,0,3
4551,IMP958102,0,3
4552,IMP410693,0,3
4553,IMP718546,0,0
4554,IMP573734,0,3
4555,IMPO13968,0,3
4556,IMPO13233,0,2
4557,IMPO15063,0,3
4558,IMPO19905,0,3
4559,IMPO11905,0,3
4560,IMPO11926,0,0
4561,IMPO15427,0,3
4562,IMPO18285,0,0
4563,IMPO10327,0,0
4564,IMPO18653,0,0
4565,IMPO17577,0,0
4566,IMPO17537,0,0
4567,IMPO18463,1,3
4568,IMPO14012,2,3
4569,IMPO11769,0,3
4570,IMPO16336,0,3
4571,IMPO15181,0,3
4572,IMPO19040,0,3
4573,IMPO11291,0,0
4574,IMPO11606,0,0
4575,IMPO16800,0,3
4576,IMPO13008,0,0
4577,IMPO19909,0,0
4578,IMP237425,1,3
4579,IMP741602,0,3
4580,IMP521594,0,3
4581,IMP513957,0,3
4582,IMP338937,0,0
4583,IMP922344,0,3
4584,IMP308282,0,3
4585,IMP230589,0,0
4586,IMP868442,0,3
4587,IMP725645,0,3
4588,IMP614620,0,0
4589,IMP957921,0,0
4590,IMP345367,0,0
4591,IMP160146,0,3
4592,IMP997221,0,0
4593,IMP836131,0,0
4594,IMP596742,0,0
4595,IMP118491,0,3
4596,IMP813766,1,3
4597,IMP969999,0,0
4598,IMP108660,1,3
4599,IMP739415,0,0
4600,IMP335954,0,3
4601,IMP790614,0,0
4602,IMP899143,0,3
4603,IMP967269,0,3
4604,IMP136898,0,0
4605,IMP549634,0,3
4606,IMP826098,0,3
4607,IMP415181,1,3
4608,IMP468728,1,3
4609,IMP854124,0,0
4610,IMP706874,0,3
4611,IMP543063,0,3
4612,IMP879900,0,0
4613,IMP182362,1,3
4614,IMP216718,0,0
4615,IMP147641,0,0
4616,IMP816485,0,0
4617,IMP757502,0,0
4618,IMP279095,0,0
4619,IMP313705,0,0
4620,IMP823496,0,3
4621,IMP432297,0,3
4622,IMP944682,0,0
4623,IMP690455,1,3
4624,IMP460154,0,0
4625,IMP472195,0,0
4626,IMP643962,0,3
4627,IMP579297,0,3
4628,IMPO14078,0,0
4629,IMPO15238,0,3
4630,IMPO16805,0,0
4631,IMPO10665,0,0
4632,IMPO16264,0,3
4633,IMPO11505,0,0
4634,IMPO12977,0,3
4635,IMPO14118,0,3
4636,IMPO14827,0,3
4637,IMPO15222,1,3
4638,IMPO10920,0,3
4639,IMPO14163,0,0
4640,IMPO10216,0,0
4641,IMPO11827,0,3
4642,IMPO11172,0,0
4643,IMPO12315,1,3
4644,IMPO10205,1,3
4645,IMPO14239,1,3
4646,IMPO16118,0,3
4647,IMPO16931,0,0
4648,IMPO19454,0,0
4649,IMP801209,0,3
4650,IMP626682,1,3
4651,IMP166686,0,0
4652,IMP500266,0,0
4653,IMP651413,0,3
4654,IMP962202,0,0
4655,IMP733930,0,0
4656,IMP453317,0,0
4657,IMP269700,0,0
4658,IMP418855,0,0
4659,IMP236859,1,3
4660,IMP915083,0,3
4661,IMP397573,0,0
4662,IMP852308,0,3
4663,IMP388705,0,0
4664,IMP806726,0,0
4665,IMP707153,0,0
4666,IMP870416,1,3
4667,IMP117973,0,0
4668,IMP805739,0,0
4669,IMP802572,0,0
4670,IMP865274,0,0
4671,IMP711989,0,3
4672,IMP419288,0,0
4673,IMP910443,0,0
4674,IMP311072,0,0
4675,IMP521216,0,0
4676,IMP130375,1,3
4677,IMPO19974,0,3
4678,IMPO10828,0,3
4679,IMPO12676,0,3
4680,IMPO13132,0,0
4681,IMPO15378,0,0
4682,IMPO13520,1,3
4683,IMPO12865,0,0
4684,IMPO19797,0,3
4685,IMPO19471,0,3
4686,IMPO17336,0,3
4687,IMPO18409,0,0
4688,IMPO14641,1,3
4689,IMPO10884,0,0
4690,IMPO12103,0,0
4691,IMPO14851,0,0
4692,IMPO13334,0,3
4693,IMPO12818,0,0
4694,IMPO16493,1,3
4695,IMPO19482,0,0
4696,IMPO12836,0,0
4697,IMPO12451,1,3
4698,IMPO15771,0,0
4699,IMPO15864,1,3
4700,IMPO14003,0,0
4701,IMPO16028,0,0
4702,IMPO10810,1,3
4703,IMPO11722,0,3
4704,IMPO17950,0,0
4705,IMPO11179,1,3
4706,IMPO14956,0,0
4707,IMPO12145,0,3
4708,IMPO12955,0,0
4709,IMPO12157,0,0
4710,IMP534359,0,3
4711,IMP331480,0,0
4712,IMP810232,0,0
4713,IMP344957,0,0
4714,IMP312731,0,3
4715,IMP232131,0,0
4716,IMP738757,1,3
4717,IMP802880,0,3
4718,IMP761578,0,0
4719,IMP236496,1,3
4720,IMP587015,0,0
4721,IMP925288,0,3
4722,IMP382110,0,0
4723,IMP995340,1,3
4724,IMP653436,0,3
4725,IMP887142,0,0
4726,IMP521723,0,0
4727,IMP923265,0,0
4728,IMP131392,0,0
4729,IMP678218,0,0
4730,IMPO12861,0,3
4731,IMPO11297,1,3
4732,IMPO16843,0,0
4733,IMPO18660,1,3
4734,IMPO13023,0,3
4735,IMPO11479,2,3
4736,IMPO16972,0,3
4737,IMPO18632,0,3
4738,IMPO11872,0,0
4739,IMPO16840,0,3
4740,IMPO16444,0,3
4741,IMPO10904,0,0
4742,IMPO13797,0,3
4743,IMPO18605,0,0
4744,IMPO15358,0,3
4745,IMPO17617,0,0
4746,IMPO12601,0,0
4747,IMPO16937,1,3
4748,IMPO12035,0,3
4749,IMPO12954,0,3
4750,IMPO17166,1,3
4751,IMPO14774,0,0
4752,IMPO11713,0,0
4753,IMPO16908,0,3
4754,IMPO10574,0,0
4755,IMPO10614,0,0
4756,IMPO10263,0,0
4757,IMPO17984,0,3
4758,IMPO11684,0,0
4759,IMPO18254,0,0
4760,IMP365945,0,0
4761,IMP267720,0,0
4762,IMP751687,0,3
4763,IMP774083,1,3
4764,IMP520647,0,0
4765,IMP344465,0,0
4766,IMP785977,0,0
4767,IMP719946,0,3
4768,IMP265385,0,3
4769,IMP755174,0,0
4770,IMP271029,1,3
4771,IMP942481,0,3
4772,IMP184326,0,0
4773,IMP493582,0,3
4774,IMP552297,0,0
4775,IMP733472,0,3
4776,IMP872568,0,0
4777,IMP576202,0,3
4778,IMP502027,0,0
4779,IMPO11857,0,0
4780,IMPO17719,0,0
4781,IMPO16898,1,3
4782,IMPO19569,0,0
4783,IMPO10095,0,0
4784,IMPO19754,0,0
4785,IMPO13984,0,3
4786,IMPO17144,0,0
4787,IMPO14748,0,0
4788,IMPO15594,0,0
4789,IMPO13882,0,3
4790,IMPO11041,0,3
4791,IMPO18557,0,3
4792,IMPO15079,0,3
4793,IMPO11612,0,0
4794,IMPO17196,0,3
4795,IMPO16806,1,3
4796,IMPO18102,0,0
4797,IMPO15781,0,0
4798,IMPO15070,0,0
4799,IMPO17795,1,3
4800,IMPO16195,1,3
4801,IMPO16393,1,3
4802,IMPO19653,0,3
4803,IMPO15778,0,3
4804,IMPO17322,0,0
4805,IMPO13432,0,0
4806,IMPO16610,0,3
4807,IMPO12016,0,3
4808,IMPO18820,0,0
4809,IMPO18014,0,3
4810,IMP677793,1,3
4811,IMP447730,0,0
4812,IMP395044,0,3
4813,IMP256206,0,0
4814,IMP718266,0,3
4815,IMP644258,0,0
4816,IMP149075,0,0
4817,IMP586501,0,0
4818,IMP384143,0,0
4819,IMP524007,0,3
4820,IMP738054,0,0
4821,IMP462176,0,0
4822,IMP801010,0,3
4823,IMP717052,0,3
4824,IMP936615,0,0
4825,IMP756902,0,3
4826,IMP501830,0,3
4827,IMP984843,0,0
4828,IMP409815,0,0
4829,IMP941032,0,3
4830,IMP293044,0,0
4831,IMP759137,0,0
4832,IMP988810,0,3
4833,IMP875518,0,3
4834,IMPO15229,0,0
4835,IMPO12463,0,0
4836,IMPO14739,1,3
4837,IMPO12625,0,0
4838,IMPO17554,0,3
4839,IMPO13475,0,3
4840,IMPO10047,1,3
4841,IMPO10744,0,3
4842,IMPO10844,1,3
4843,IMPO19983,1,3
4844,IMPO19232,0,3
4845,IMPO18979,1,3
4846,IMPO11128,0,0
4847,IMPO16575,0,0
4848,IMPO16929,0,0
4849,IMPO11645,0,0
4850,IMPO17478,0,0
4851,IMPO12295,0,0
4852,IMPO19456,0,3
4853,IMPO13949,0,3
4854,IMP734707,0,0
4855,IMP671464,0,3
4856,IMP237133,2,3
4857,IMP851464,0,0
4858,IMP616428,0,3
4859,IMP863899,1,3
4860,IMP960909,0,0
4861,IMP444837,0,0
4862,IMP746629,1,3
4863,IMP971659,0,3
4864,IMP250798,0,0
4865,IMP309952,0,3
4866,IMP380131,0,0
4867,IMP620525,0,0
4868,IMP620034,0,0
4869,IMP354977,1,3
4870,IMP872498,1,3
4871,IMP785321,0,0
4872,IMP255976,0,0
4873,IMP253703,0,0
4874,IMP420077,0,3
4875,IMP688289,0,0
4876,IMPO18847,0,3
4877,IMPO15474,2,3
4878,IMPO19485,0,3
4879,IMPO17487,0,0
4880,IMPO14533,0,3
4881,IMPO11714,0,0
4882,IMPO12164,0,3
4883,IMPO10023,0,0
4884,IMPO13766,0,0
4885,IMPO11640,0,0
4886,IMPO16867,0,0
4887,IMPO14861,0,0
4888,IMPO11252,0,3
4889,IMPO14817,0,0
4890,IMPO10840,0,0
4891,IMPO15239,0,3
4892,IMPO17775,1,3
4893,IMPO10935,0,3
4894,IMPO19389,0,0
4895,IMPO19422,0,3
4896,IMPO13674,0,3
4897,IMPO11034,0,3
4898,IMP317373,0,0
4899,IMP682218,0,0
4900,IMP379100,0,3
4901,IMP999915,0,0
4902,IMP276514,1,3
4903,IMP157669,0,0
4904,IMP775248,0,3
4905,IMP699903,0,0
4906,IMP532907,0,3
4907,IMP837998,0,0
4908,IMP356519,1,3
4909,IMP942982,0,0
4910,IMP290214,0,3
4911,IMP304148,1,3
4912,IMP156259,0,3
4913,IMP620314,0,0
4914,IMP446810,0,3
4915,IMP605931,0,3
4916,IMP349370,0,0
4917,IMP398817,0,0
4918,IMP234368,0,3
4919,IMP229373,0,0
4920,IMP305209,0,3
4921,IMP948889,0,0
4922,IMPO12271,0,3
4923,IMPO19144,0,3
4924,IMPO18398,0,0
4925,IMPO14045,0,3
4926,IMPO10496,0,0
4927,IMPO16009,0,0
4928,IMPO15611,0,0
4929,IMPO11259,1,3
4930,IMPO11345,1,3
4931,IMPO10725,0,0
4932,IMPO16385,1,3
4933,IMPO12333,0,3
4934,IMPO18290,0,3
4935,IMPO11716,1,3
4936,IMPO16426,0,0
4937,IMP736523,0,0
4938,IMP329442,0,0
4939,IMP352718,0,3
4940,IMP525818,0,0
4941,IMP977940,0,0
4942,IMP460375,0,0
4943,IMP397772,0,3
4944,IMP123602,0,0
4945,IMP926450,1,3
4946,IMP574681,0,0
4947,IMP752572,0,0
4948,IMP969597,0,0
4949,IMP616380,1,3
4950,IMP222594,0,0
4951,IMP564073,0,0
4952,IMP630406,0,3
4953,IMP811494,0,3
4954,IMP799870,0,3
4955,IMP408359,1,3
4956,IMP321600,0,3
4957,IMP706266,0,3
4958,IMP753505,0,3
4959,IMP572982,0,3
4960,IMPO18241,0,3
4961,IMPO15568,1,3
4962,IMPO18485,1,3
4963,IMPO15716,0,3
4964,IMPO11331,0,3
4965,IMPO11535,0,0
4966,IMPO19622,0,0
4967,IMPO13123,1,3
4968,IMPO11975,0,3
4969,IMPO17710,1,3
4970,IMPO12254,0,0
4971,IMPO19683,0,3
4972,IMPO14562,1,3
4973,IMPO18278,1,3
4974,IMPO12617,0,0
4975,IMPO15553,1,3
4976,IMPO16377,0,3
4977,IMPO13442,0,0
4978,IMPO17310,0,0
4979,IMPO18140,0,0
4980,IMPO15997,2,3
4981,IMPO14485,0,3
4982,IMP672176,0,0
4983,IMP812092,0,3
4984,IMP587779,0,0
4985,IMP414565,0,0
4986,IMP605178,0,3
4987,IMP694539,0,0
4988,IMP481761,0,0
4989,IMP818855,0,3
4990,IMP296694,0,0
4991,IMP761339,0,0
4992,IMP524010,0,3
4993,IMP355685,0,3
4994,IMP882698,0,0
4995,IMP461614,0,0
4996,IMP667555,0,0
4997,IMP421188,0,3
4998,IMP233723,0,0
4999,IMP598664,0,3
5000,IMP396169,0,3
5001,IMPO10478,0,3
5002,IMPO19018,0,0
5003,IMPO13364,0,3
5004,IMPO19002,0,0
5005,IMPO16605,0,0
5006,IMPO12769,0,3
5007,IMPO13252,1,3
5008,IMPO16464,1,3
5009,IMPO19886,0,3
5010,IMPO12782,0,0
5011,IMPO19535,0,3
5012,IMPO19484,0,0
5013,IMPO10442,0,0
5014,IMPO18684,1,3
5015,IMPO16300,0,3
5016,IMPO17306,0,0
5017,IMPO12878,0,0
5018,IMPO15409,0,3
5019,IMPO18314,0,3
5020,IMPO18126,0,3
5021,IMPO12619,1,3
5022,IMPO12388,1,3
5023,IMPO10603,0,3
5024,IMPO14095,2,3
5025,IMPO13386,0,0
5026,IMPO18059,1,3
5027,IMPO14369,0,3
5028,IMPO11821,0,3
5029,IMPO17868,0,0
5030,IMPO19233,0,3
5031,IMPO10717,0,3
5032,IMP277771,0,0
5033,IMP635379,0,0
5034,IMP545770,0,3
5035,IMP459625,0,3
5036,IMP801552,0,0
5037,IMP492571,0,0
5038,IMP885526,0,3
5039,IMP613574,0,0
5040,IMP751071,0,3
5041,IMP638933,0,3
5042,IMP593853,0,3
5043,IMP235187,0,0
5044,IMP310633,1,3
5045,IMP833507,1,3
5046,IMP549610,0,0
5047,IMP608666,0,3
5048,IMP288765,1,3
5049,IMP685753,0,0
5050,IMP464475,0,0
5051,IMP301556,0,0
5052,IMP872822,0,3
5053,IMP168972,0,0
5054,IMP477506,0,0
5055,IMP169088,0,3
5056,IMPO14820,0,0
5057,IMPO13085,0,3
5058,IMPO17663,1,3
5059,IMPO12573,0,3
5060,IMPO10808,0,0
5061,IMPO15613,0,0
5062,IMPO13773,1,3
5063,IMPO18616,1,3
5064,IMPO17999,0,3
5065,IMPO10773,0,0
5066,IMPO17916,0,3
5067,IMPO13064,0,0
5068,IMPO13965,0,3
5069,IMPO16769,1,3
5070,IMPO13516,0,3
5071,IMPO17850,1,3
5072,IMPO16246,0,0
5073,IMPO19859,0,3
5074,IMPO19615,0,3
5075,IMPO17616,1,3
5076,IMPO19761,0,3
5077,IMPO14381,0,0
5078,IMPO15548,0,3
5079,IMPO12634,0,3
5080,IMPO17585,0,0
5081,IMPO10494,1,3
5082,IMPO11449,0,3
5083,IMPO14313,0,0
5084,IMP637031,0,0
5085,IMP450844,0,0
5086,IMP696442,0,0
5087,IMP981530,0,0
5088,IMP870774,1,3
5089,IMP742893,1,3
5090,IMP781487,0,3
5091,IMP465844,0,0
5092,IMP810018,0,3
5093,IMP295744,0,0
5094,IMP286314,0,3
5095,IMP355289,1,3
5096,IMP455687,0,3
5097,IMP812124,0,0
5098,IMP584912,0,3
5099,IMP826885,0,0
5100,IMP935857,0,3
5101,IMP840123,0,0
5102,IMP976038,0,0
5103,IMP482151,0,0
5104,IMP168278,1,3
5105,IMP528524,0,0
5106,IMP646277,1,3
5107,IMPO16993,1,3
5108,IMPO18030,0,0
5109,IMPO10998,0,3
5110,IMPO15912,0,0
5111,IMPO15255,0,0
5112,IMPO19794,0,0
5113,IMPO18650,0,3
5114,IMPO12847,0,0
5115,IMPO11906,1,3
5116,IMPO17428,0,0
5117,IMPO16621,0,0
5118,IMPO14470,0,3
5119,IMPO15412,0,3
5120,IMPO16404,0,3
5121,IMP627772,0,3
5122,IMP232047,0,0
5123,IMP374580,0,0
5124,IMP726456,0,0
5125,IMP456489,1,3
5126,IMP239612,0,0
5127,IMP753264,0,3
5128,IMP453426,0,0
5129,IMP377983,1,3
5130,IMP629468,0,0
5131,IMP646631,0,3
5132,IMP477467,1,3
5133,IMP802570,0,3
5134,IMP992682,0,0
5135,IMP823521,0,3
5136,IMP799496,2,3
5137,IMP251641,0,0
5138,IMP185035,0,0
5139,IMPO17224,0,3
5140,IMPO11834,0,0
5141,IMPO19600,0,0
5142,IMPO17835,0,0
5143,IMPO12979,0,3
5144,IMPO16280,1,3
5145,IMPO14372,0,3
