,IMPORTER.TIN&&ORIGIN.CODE,IMPORTER.TIN&&ORIGIN.CODE_illicit_Qsum,IMPORTER.TIN&&ORIGIN.CODE_illicit_Qrate
7753,IMPO17648&&CNTRY825,0,0
7754,IMPO14760&&CNTRY438,0,1
7755,IMPO18755&&CNTRY123,0,0
7756,IMPO10629&&CNTRY527,0,0
7757,IMPO11766&&CNTRY485,0,0
7758,IMPO18189&&CNTRY881,0,0
7759,IMPO17225&&CNTRY527,0,1
7760,IMPO11691&&CNTRY456,0,1
7761,IMPO13576&&CNTRY994,0,1
7762,IMPO17321&&CNTRY976,0,0
7763,IMPO10053&&CNTRY236,0,0
7764,IMPO10210&&CNTRY485,0,0
7765,IMPO12075&&CNTRY680,0,0
7766,IMPO13239&&CNTRY364,0,1
7767,IMPO15279&&CNTRY765,0,0
7768,IMPO18960&&CNTRY615,0,1
7769,IMPO17280&&CNTRY454,0,1
7770,IMPO15518&&CNTRY415,0,1
7771,IMPO19818&&CNTRY846,0,0
7772,IMPO19773&&CNTRY317,0,1
7773,IMPO19818&&CNTRY976,0,0
7774,IMPO10550&&CNTRY701,0,0
7775,IMPO13548&&CNTRY485,0,0
7776,IMPO11353&&CNTRY771,0,0
7777,IMPO10344&&CNTRY407,0,0
7778,IMPO14335&&CNTRY976,0,0
7779,IMPO14670&&CNTRY454,0,0
7780,IMPO18451&&CNTRY975,0,1
7781,IMPO17538&&CNTRY652,0,0
7782,IMPO17152&&CNTRY393,0,0
7783,IMPO16914&&CNTRY764,0,0
7784,IMPO12184&&CNTRY994,0,0
7785,IMPO12768&&CNTRY759,0,0
7786,IMPO10622&&CNTRY843,0,0
7787,IMPO10233&&CNTRY652,0,1
7788,IMPO19910&&CNTRY994,0,0
7789,IMPO10094&&CNTRY562,0,1
7790,IMPO19663&&CNTRY771,0,1
7791,IMPO13693&&CNTRY920,0,0
7792,IMPO16486&&CNTRY680,0,0
7793,IMPO11245&&CNTRY209,0,0
7794,IMPO15276&&CNTRY976,0,0
7795,IMPO17287&&CNTRY393,0,0
7796,IMP165224&&CNTRY874,0,0
7797,IMP873935&&CNTRY277,0,0
7798,IMP152810&&CNTRY656,0,0
7799,IMP934273&&CNTRY656,0,0
7800,IMP694228&&CNTRY527,0,0
7801,IMP341307&&CNTRY277,0,0
7802,IMP478116&&CNTRY884,0,1
7803,IMP179534&&CNTRY881,0,0
7804,IMP734391&&CNTRY884,0,0
7805,IMP468811&&CNTRY846,0,0
7806,IMP740252&&CNTRY884,0,0
7807,IMP419507&&CNTRY713,0,0
7808,IMP152015&&CNTRY881,0,0
7809,IMP931042&&CNTRY234,0,0
7810,IMP877392&&CNTRY656,0,1
7811,IMP365812&&CNTRY491,0,0
7812,IMP870242&&CNTRY454,0,0
7813,IMP126554&&CNTRY576,0,0
7814,IMP933717&&CNTRY939,0,1
7815,IMP778035&&CNTRY884,0,1
7816,IMP563000&&CNTRY995,0,0
7817,IMP192377&&CNTRY652,0,0
7818,IMP960205&&CNTRY334,0,0
7819,IMP396753&&CNTRY277,0,0
7820,IMP672141&&CNTRY644,0,1
7821,IMP408914&&CNTRY759,0,0
7822,IMP127478&&CNTRY756,0,0
7823,IMP727169&&CNTRY454,0,0
7824,IMP211288&&CNTRY652,0,0
7825,IMP115712&&CNTRY759,0,0
7826,IMP142940&&CNTRY994,0,0
7827,IMP895339&&CNTRY785,0,0
7828,IMP488219&&CNTRY680,0,1
7829,IMP537987&&CNTRY680,0,0
7830,IMP154351&&CNTRY747,0,0
7831,IMP987414&&CNTRY759,0,0
7832,IMP207821&&CNTRY349,0,0
7833,IMP353727&&CNTRY316,0,0
7834,IMP938680&&CNTRY713,0,0
7835,IMP482328&&CNTRY680,0,0
7836,IMP781895&&CNTRY277,0,0
7837,IMP727234&&CNTRY448,0,0
7838,IMP458839&&CNTRY759,0,1
7839,IMP826887&&CNTRY558,0,0
7840,IMP590954&&CNTRY701,0,1
7841,IMP407823&&CNTRY759,0,0
7842,IMP484085&&CNTRY759,0,0
7843,IMP985106&&CNTRY680,0,0
7844,IMP191492&&CNTRY321,0,0
7845,IMP622321&&CNTRY920,0,1
7846,IMP265245&&CNTRY680,0,0
7847,IMP565268&&CNTRY656,0,0
7848,IMP423913&&CNTRY959,0,0
7849,IMP844837&&CNTRY376,0,0
7850,IMP763520&&CNTRY438,0,0
7851,IMP592946&&CNTRY680,0,0
7852,IMP834324&&CNTRY975,0,0
7853,IMP982525&&CNTRY436,0,0
7854,IMP144015&&CNTRY376,0,0
7855,IMP743974&&CNTRY656,0,0
7856,IMP938292&&CNTRY321,0,0
7857,IMP112688&&CNTRY277,0,0
7858,IMP911375&&CNTRY480,0,0
7859,IMP661602&&CNTRY939,0,0
7860,IMP954081&&CNTRY881,0,0
7861,IMP706385&&CNTRY680,0,0
7862,IMP763548&&CNTRY376,0,0
7863,IMP154573&&CNTRY376,0,1
7864,IMP203905&&CNTRY615,0,1
7865,IMP542309&&CNTRY874,0,0
7866,IMP596129&&CNTRY874,0,1
7867,IMP171643&&CNTRY759,0,0
7868,IMP361548&&CNTRY140,0,0
7869,IMP779162&&CNTRY284,0,0
7870,IMP889666&&CNTRY311,0,0
7871,IMP957827&&CNTRY322,0,0
7872,IMP408418&&CNTRY546,0,0
7873,IMP649664&&CNTRY976,0,1
7874,IMP826164&&CNTRY846,0,1
7875,IMP980894&&CNTRY680,0,0
7876,IMP749473&&CNTRY680,0,0
7877,IMP747431&&CNTRY562,0,1
7878,IMP907824&&CNTRY765,0,0
7879,IMPO13439&&CNTRY863,0,0
7880,IMPO16962&&CNTRY652,0,0
7881,IMPO12718&&CNTRY485,0,0
7882,IMPO10965&&CNTRY139,0,0
7883,IMPO10036&&CNTRY321,0,0
7884,IMPO11927&&CNTRY994,0,0
7885,IMPO19390&&CNTRY976,0,0
7886,IMPO12680&&CNTRY123,0,0
7887,IMPO19671&&CNTRY680,0,0
7888,IMPO18009&&CNTRY825,0,0
7889,IMPO17717&&CNTRY323,0,0
7890,IMPO10516&&CNTRY825,0,0
7891,IMPO18433&&CNTRY846,0,0
7892,IMPO13959&&CNTRY123,0,0
7893,IMPO11478&&CNTRY376,0,0
7894,IMPO18006&&CNTRY123,0,0
7895,IMPO18189&&CNTRY615,0,1
7896,IMPO15902&&CNTRY138,0,0
7897,IMPO14200&&CNTRY825,0,0
7898,IMPO15858&&CNTRY866,0,0
7899,IMPO15765&&CNTRY615,0,0
7900,IMPO11557&&CNTRY994,0,0
7901,IMPO15707&&CNTRY759,0,0
7902,IMPO18716&&CNTRY454,0,0
7903,IMPO10281&&CNTRY915,0,1
7904,IMPO13087&&CNTRY123,0,1
7905,IMPO13368&&CNTRY843,0,0
7906,IMPO12359&&CNTRY976,0,0
7907,IMPO18445&&CNTRY652,0,0
7908,IMPO12479&&CNTRY795,0,0
7909,IMPO19291&&CNTRY866,0,1
7910,IMPO17538&&CNTRY322,0,0
7911,IMPO18189&&CNTRY680,0,1
7912,IMPO18475&&CNTRY680,0,1
7913,IMPO17009&&CNTRY915,0,1
7914,IMPO12228&&CNTRY680,0,0
7915,IMPO17074&&CNTRY881,0,0
7916,IMPO10768&&CNTRY994,0,0
7917,IMPO18141&&CNTRY825,0,0
7918,IMPO14077&&CNTRY184,0,0
7919,IMPO13279&&CNTRY825,0,0
7920,IMPO16712&&CNTRY994,0,0
7921,IMPO10676&&CNTRY317,0,0
7922,IMPO18208&&CNTRY825,0,0
7923,IMPO15859&&CNTRY680,0,0
7924,IMPO10541&&CNTRY863,0,0
7925,IMPO14673&&CNTRY994,0,0
7926,IMPO15396&&CNTRY615,0,0
7927,IMPO12688&&CNTRY680,0,0
7928,IMPO18898&&CNTRY959,0,0
7929,IMPO13040&&CNTRY139,0,0
7930,IMPO17820&&CNTRY846,0,0
7931,IMPO12986&&CNTRY123,0,1
7932,IMPO15283&&CNTRY846,0,0
7933,IMPO17718&&CNTRY994,0,0
7934,IMPO16235&&CNTRY680,0,0
7935,IMPO13696&&CNTRY123,0,0
7936,IMPO12244&&CNTRY994,0,1
7937,IMPO12985&&CNTRY652,0,1
7938,IMPO17871&&CNTRY485,0,0
7939,IMPO17603&&CNTRY454,0,0
7940,IMPO10492&&CNTRY866,0,1
7941,IMPO10182&&CNTRY209,0,1
7942,IMPO18268&&CNTRY615,0,1
7943,IMPO19879&&CNTRY846,0,0
7944,IMPO14479&&CNTRY994,0,0
7945,IMPO10780&&CNTRY376,0,0
7946,IMP412513&&CNTRY759,0,0
7947,IMP514945&&CNTRY680,0,0
7948,IMP934643&&CNTRY615,0,0
7949,IMP434478&&CNTRY680,0,1
7950,IMP449765&&CNTRY316,0,1
7951,IMP239143&&CNTRY701,0,0
7952,IMP215625&&CNTRY454,0,0
7953,IMP765282&&CNTRY562,0,0
7954,IMP810695&&CNTRY759,0,1
7955,IMP664290&&CNTRY376,0,0
7956,IMP358094&&CNTRY884,0,0
7957,IMP946995&&CNTRY438,0,1
7958,IMP889049&&CNTRY917,0,0
7959,IMP301080&&CNTRY562,0,0
7960,IMP297557&&CNTRY407,0,0
7961,IMP837249&&CNTRY562,0,0
7962,IMP131933&&CNTRY975,0,1
7963,IMP851987&&CNTRY562,0,1
7964,IMP182858&&CNTRY527,0,0
7965,IMP632069&&CNTRY615,0,0
7966,IMP428962&&CNTRY188,0,1
7967,IMP954081&&CNTRY264,0,0
7968,IMP805237&&CNTRY153,0,0
7969,IMP368858&&CNTRY376,0,0
7970,IMP478176&&CNTRY277,0,0
7971,IMP459891&&CNTRY153,0,0
7972,IMP602626&&CNTRY473,0,0
7973,IMP422356&&CNTRY881,0,0
7974,IMP620818&&CNTRY713,0,0
7975,IMP535548&&CNTRY322,0,1
7976,IMP675495&&CNTRY277,0,0
7977,IMP243951&&CNTRY884,0,0
7978,IMP773332&&CNTRY150,0,1
7979,IMP402666&&CNTRY994,0,0
7980,IMP722083&&CNTRY113,0,0
7981,IMP715022&&CNTRY680,0,1
7982,IMP445164&&CNTRY454,0,0
7983,IMP187998&&CNTRY171,0,0
7984,IMP292674&&CNTRY393,0,0
7985,IMP381347&&CNTRY615,0,0
7986,IMP934273&&CNTRY376,0,1
7987,IMP410822&&CNTRY759,0,0
7988,IMP509522&&CNTRY618,0,0
7989,IMP336145&&CNTRY756,0,0
7990,IMP714930&&CNTRY615,0,0
7991,IMP624309&&CNTRY680,0,0
7992,IMP287020&&CNTRY527,0,0
7993,IMP733694&&CNTRY376,0,0
7994,IMP474570&&CNTRY615,0,0
7995,IMP396712&&CNTRY376,0,0
7996,IMP625406&&CNTRY615,0,0
7997,IMP701674&&CNTRY680,0,0
7998,IMP546339&&CNTRY323,0,0
7999,IMP413706&&CNTRY615,0,0
8000,IMP163708&&CNTRY473,0,1
8001,IMP584474&&CNTRY846,0,0
8002,IMP483665&&CNTRY881,0,0
8003,IMP499777&&CNTRY976,0,0
8004,IMP674194&&CNTRY713,0,0
8005,IMP242995&&CNTRY349,0,0
8006,IMP787442&&CNTRY652,0,0
8007,IMP386453&&CNTRY713,0,0
8008,IMP961567&&CNTRY859,0,0
8009,IMP117406&&CNTRY376,0,0
8010,IMP762355&&CNTRY680,0,0
8011,IMP447222&&CNTRY615,0,0
8012,IMP605180&&CNTRY277,0,0
8013,IMP446524&&CNTRY438,0,1
8014,IMP480452&&CNTRY994,0,0
8015,IMP709641&&CNTRY576,0,1
8016,IMP690457&&CNTRY376,0,0
8017,IMP539652&&CNTRY491,0,0
8018,IMPO18484&&CNTRY123,0,1
8019,IMPO16954&&CNTRY376,0,0
8020,IMPO13025&&CNTRY123,0,1
8021,IMPO10344&&CNTRY846,0,0
8022,IMPO10629&&CNTRY576,0,1
8023,IMPO13967&&CNTRY674,0,0
8024,IMPO11444&&CNTRY376,0,0
8025,IMPO19250&&CNTRY652,0,0
8026,IMPO18842&&CNTRY389,0,1
8027,IMPO15078&&CNTRY680,0,0
8028,IMPO12200&&CNTRY277,0,1
8029,IMPO19390&&CNTRY846,0,0
8030,IMPO12167&&CNTRY652,0,0
8031,IMPO16145&&CNTRY322,0,0
8032,IMPO12105&&CNTRY335,0,0
8033,IMPO14867&&CNTRY680,0,0
8034,IMPO16865&&CNTRY652,0,0
8035,IMPO11245&&CNTRY558,0,0
8036,IMPO16045&&CNTRY123,0,0
8037,IMPO16184&&CNTRY527,0,0
8038,IMPO17368&&CNTRY334,0,0
8039,IMPO12613&&CNTRY123,0,0
8040,IMPO15656&&CNTRY409,0,0
8041,IMPO12575&&CNTRY376,0,0
8042,IMPO13890&&CNTRY680,0,0
8043,IMPO14555&&CNTRY994,0,0
8044,IMPO15955&&CNTRY962,0,0
8045,IMPO13973&&CNTRY825,0,0
8046,IMPO17968&&CNTRY576,0,1
8047,IMPO11356&&CNTRY438,0,1
8048,IMPO15506&&CNTRY652,0,0
8049,IMPO15272&&CNTRY976,0,0
8050,IMPO19340&&CNTRY555,0,1
8051,IMPO10763&&CNTRY139,0,0
8052,IMPO18433&&CNTRY277,0,1
8053,IMPO14564&&CNTRY322,0,0
8054,IMPO11316&&CNTRY454,0,0
8055,IMPO13754&&CNTRY976,0,1
8056,IMPO13672&&CNTRY994,0,0
8057,IMPO15395&&CNTRY334,0,1
8058,IMPO18703&&CNTRY652,0,0
8059,IMPO14221&&CNTRY680,0,1
8060,IMPO14094&&CNTRY264,0,0
8061,IMPO18886&&CNTRY915,0,0
8062,IMPO18461&&CNTRY881,0,0
8063,IMPO19396&&CNTRY976,0,0
8064,IMPO15294&&CNTRY680,0,0
8065,IMPO12057&&CNTRY713,0,1
8066,IMPO16576&&CNTRY994,0,0
8067,IMPO11651&&CNTRY825,0,0
8068,IMPO19747&&CNTRY652,0,1
8069,IMPO19610&&CNTRY825,0,0
8070,IMPO16351&&CNTRY123,0,0
8071,IMPO10845&&CNTRY615,0,0
8072,IMPO16401&&CNTRY364,0,0
8073,IMPO18809&&CNTRY123,0,0
8074,IMPO15279&&CNTRY652,0,0
8075,IMPO16271&&CNTRY994,0,0
8076,IMPO17820&&CNTRY975,0,0
8077,IMPO16355&&CNTRY976,0,0
8078,IMPO11454&&CNTRY765,0,0
8079,IMPO11017&&CNTRY830,0,0
8080,IMPO18223&&CNTRY915,0,0
8081,IMPO13856&&CNTRY994,0,0
8082,IMPO17075&&CNTRY994,0,1
8083,IMPO19506&&CNTRY994,0,0
8084,IMPO17368&&CNTRY837,0,0
8085,IMPO11454&&CNTRY652,0,0
8086,IMPO14334&&CNTRY976,0,0
8087,IMPO10646&&CNTRY994,1,1
8088,IMPO10587&&CNTRY252,0,0
8089,IMPO17074&&CNTRY379,0,1
8090,IMPO11445&&CNTRY123,0,0
8091,IMPO16367&&CNTRY171,0,0
8092,IMPO10541&&CNTRY139,0,0
8093,IMPO12086&&CNTRY680,0,0
8094,IMPO19657&&CNTRY139,0,1
8095,IMPO17846&&CNTRY209,0,0
8096,IMPO11948&&CNTRY994,0,0
8097,IMPO13199&&CNTRY825,0,0
8098,IMPO15253&&CNTRY618,0,0
8099,IMPO13852&&CNTRY123,0,1
8100,IMPO17871&&CNTRY615,0,0
8101,IMPO15880&&CNTRY652,0,0
8102,IMPO17964&&CNTRY962,0,0
8103,IMPO13595&&CNTRY644,0,0
8104,IMPO13181&&CNTRY680,1,1
8105,IMPO11607&&CNTRY994,0,1
8106,IMPO18915&&CNTRY976,0,0
8107,IMPO17356&&CNTRY321,0,0
8108,IMPO16677&&CNTRY480,0,0
8109,IMPO17707&&CNTRY390,0,1
8110,IMPO10326&&CNTRY994,0,1
8111,IMPO10880&&CNTRY976,0,0
8112,IMP118044&&CNTRY334,0,0
8113,IMP649072&&CNTRY759,0,0
8114,IMP965305&&CNTRY277,0,0
8115,IMP561416&&CNTRY747,0,0
8116,IMP456549&&CNTRY576,0,0
8117,IMP514650&&CNTRY713,0,0
8118,IMP870242&&CNTRY277,0,0
8119,IMP882715&&CNTRY376,0,0
8120,IMP273525&&CNTRY264,0,0
8121,IMP662947&&CNTRY376,0,0
8122,IMP307828&&CNTRY277,0,0
8123,IMP782069&&CNTRY527,0,0
8124,IMP593975&&CNTRY759,0,0
8125,IMP994220&&CNTRY622,0,0
8126,IMP711631&&CNTRY756,0,0
8127,IMP732356&&CNTRY759,0,0
8128,IMP416045&&CNTRY713,0,1
8129,IMP462435&&CNTRY277,0,0
8130,IMP538713&&CNTRY709,0,0
8131,IMP781428&&CNTRY150,0,0
8132,IMP447222&&CNTRY364,0,0
8133,IMP716000&&CNTRY637,0,1
8134,IMP392040&&CNTRY171,0,0
8135,IMP705348&&CNTRY376,0,0
8136,IMP129307&&CNTRY376,0,0
8137,IMP188186&&CNTRY576,0,0
8138,IMP677211&&CNTRY884,0,0
8139,IMP428055&&CNTRY480,0,0
8140,IMP596580&&CNTRY576,0,0
8141,IMP884142&&CNTRY759,0,1
8142,IMP936849&&CNTRY988,0,0
8143,IMP992403&&CNTRY759,0,1
8144,IMP944455&&CNTRY277,0,0
8145,IMP538681&&CNTRY825,0,0
8146,IMP823322&&CNTRY322,0,0
8147,IMP385327&&CNTRY277,0,1
8148,IMP476478&&CNTRY554,0,1
8149,IMP355376&&CNTRY150,0,0
8150,IMP551203&&CNTRY473,0,1
8151,IMP606300&&CNTRY680,0,0
8152,IMP726719&&CNTRY680,0,0
8153,IMP179618&&CNTRY376,0,0
8154,IMP872565&&CNTRY277,0,0
8155,IMP187612&&CNTRY277,0,0
8156,IMP721530&&CNTRY984,0,0
8157,IMP293691&&CNTRY680,0,0
8158,IMP965305&&CNTRY825,0,0
8159,IMP156950&&CNTRY881,0,0
8160,IMP163708&&CNTRY277,0,0
8161,IMP124597&&CNTRY351,0,0
8162,IMP677211&&CNTRY277,1,1
8163,IMP327159&&CNTRY576,0,0
8164,IMP355679&&CNTRY759,0,0
8165,IMP857248&&CNTRY884,0,0
8166,IMP167197&&CNTRY615,0,0
8167,IMP141436&&CNTRY615,0,0
8168,IMP164293&&CNTRY846,0,0
8169,IMP782893&&CNTRY436,0,0
8170,IMP181720&&CNTRY277,0,0
8171,IMP412417&&CNTRY825,0,0
8172,IMP327939&&CNTRY184,0,0
8173,IMP826164&&CNTRY701,0,0
8174,IMP412417&&CNTRY846,0,0
8175,IMP682232&&CNTRY764,0,0
8176,IMP517696&&CNTRY680,0,0
8177,IMP750032&&CNTRY756,0,0
8178,IMP592777&&CNTRY349,0,0
8179,IMP108528&&CNTRY618,0,1
8180,IMP347300&&CNTRY656,0,0
8181,IMP690700&&CNTRY759,0,0
8182,IMP746828&&CNTRY277,0,0
8183,IMP236573&&CNTRY622,0,0
8184,IMP651017&&CNTRY770,0,0
8185,IMP910745&&CNTRY962,0,0
8186,IMP606300&&CNTRY825,0,0
8187,IMP551203&&CNTRY528,0,0
8188,IMP351195&&CNTRY874,0,0
8189,IMP715356&&CNTRY747,0,0
8190,IMP112688&&CNTRY759,0,0
8191,IMP275359&&CNTRY764,0,0
8192,IMP236513&&CNTRY759,0,0
8193,IMP938037&&CNTRY874,0,0
8194,IMP562993&&CNTRY328,0,0
8195,IMP993091&&CNTRY622,0,0
8196,IMP606875&&CNTRY846,0,0
8197,IMP763458&&CNTRY976,0,0
8198,IMP164613&&CNTRY975,0,0
8199,IMP995597&&CNTRY277,0,1
8200,IMP839288&&CNTRY376,0,1
8201,IMP197383&&CNTRY881,0,0
8202,IMP231833&&CNTRY884,0,0
8203,IMP589731&&CNTRY562,0,0
8204,IMP397091&&CNTRY770,0,0
8205,IMP750032&&CNTRY994,0,0
8206,IMP142564&&CNTRY884,0,0
8207,IMP179534&&CNTRY138,0,1
8208,IMPO11469&&CNTRY846,0,0
8209,IMPO15817&&CNTRY456,0,0
8210,IMPO14457&&CNTRY994,0,0
8211,IMPO19420&&CNTRY652,0,0
8212,IMPO10020&&CNTRY123,0,0
8213,IMPO13543&&CNTRY562,0,0
8214,IMPO15859&&CNTRY652,0,0
8215,IMPO13030&&CNTRY376,0,0
8216,IMPO18943&&CNTRY554,0,0
8217,IMPO12052&&CNTRY409,0,1
8218,IMPO17736&&CNTRY166,0,0
8219,IMPO13095&&CNTRY920,0,0
8220,IMPO15101&&CNTRY976,0,0
8221,IMPO19747&&CNTRY139,0,0
8222,IMPO19469&&CNTRY920,0,0
8223,IMPO18333&&CNTRY846,0,0
8224,IMPO11193&&CNTRY454,0,0
8225,IMPO14067&&CNTRY825,0,1
8226,IMPO16916&&CNTRY618,0,0
8227,IMPO10680&&CNTRY123,0,0
8228,IMPO15391&&CNTRY994,0,0
8229,IMPO16524&&CNTRY652,0,0
8230,IMPO19757&&CNTRY680,0,0
8231,IMPO16887&&CNTRY825,0,0
8232,IMPO12219&&CNTRY438,0,0
8233,IMPO17287&&CNTRY123,0,1
8234,IMPO18531&&CNTRY994,0,0
8235,IMPO15852&&CNTRY321,0,0
8236,IMPO11439&&CNTRY234,0,1
8237,IMPO19315&&CNTRY846,0,0
8238,IMPO15571&&CNTRY615,0,0
8239,IMPO13665&&CNTRY335,0,0
8240,IMPO17820&&CNTRY874,0,0
8241,IMPO11642&&CNTRY881,0,0
8242,IMPO15279&&CNTRY764,0,0
8243,IMPO15909&&CNTRY316,0,0
8244,IMPO15485&&CNTRY846,0,0
8245,IMPO15732&&CNTRY837,0,0
8246,IMPO17772&&CNTRY825,0,0
8247,IMPO14455&&CNTRY846,0,1
8248,IMPO10970&&CNTRY123,0,0
8249,IMPO10267&&CNTRY975,0,0
8250,IMPO13823&&CNTRY976,0,0
8251,IMPO15403&&CNTRY975,0,0
8252,IMPO10103&&CNTRY652,0,0
8253,IMPO17356&&CNTRY480,0,0
8254,IMPO17249&&CNTRY139,0,0
8255,IMPO14840&&CNTRY825,0,0
8256,IMPO11274&&CNTRY485,0,1
8257,IMPO18743&&CNTRY652,0,0
8258,IMPO10088&&CNTRY759,0,0
8259,IMPO14730&&CNTRY915,0,0
8260,IMPO18141&&CNTRY184,0,0
8261,IMPO12213&&CNTRY994,0,0
8262,IMPO13749&&CNTRY576,0,0
8263,IMPO10228&&CNTRY652,0,0
8264,IMPO19390&&CNTRY837,0,1
8265,IMPO15028&&CNTRY390,0,1
8266,IMPO18767&&CNTRY113,0,0
8267,IMPO11379&&CNTRY576,0,1
8268,IMPO19906&&CNTRY765,0,0
8269,IMPO17926&&CNTRY771,0,0
8270,IMPO10845&&CNTRY825,0,0
8271,IMPO18141&&CNTRY652,0,0
8272,IMPO19381&&CNTRY915,0,0
8273,IMPO13652&&CNTRY389,0,0
8274,IMPO10983&&CNTRY825,0,0
8275,IMPO15913&&CNTRY959,0,0
8276,IMPO17140&&CNTRY825,0,0
8277,IMPO17815&&CNTRY438,0,0
8278,IMPO13519&&CNTRY123,0,1
8279,IMPO12748&&CNTRY881,0,0
8280,IMPO15934&&CNTRY480,0,1
8281,IMPO15135&&CNTRY680,0,0
8282,IMPO13672&&CNTRY881,0,0
8283,IMPO12647&&CNTRY485,0,0
8284,IMPO13854&&CNTRY454,0,0
8285,IMPO17948&&CNTRY846,0,1
8286,IMPO18915&&CNTRY123,0,0
8287,IMPO11193&&CNTRY994,0,0
8288,IMPO14890&&CNTRY866,0,0
8289,IMPO18361&&CNTRY438,0,0
8290,IMPO10401&&CNTRY994,0,0
8291,IMPO19285&&CNTRY994,0,0
8292,IMPO13906&&CNTRY555,0,0
8293,IMPO10652&&CNTRY825,0,0
8294,IMPO13913&&CNTRY652,0,0
8295,IMPO18475&&CNTRY846,0,0
8296,IMP662011&&CNTRY140,0,1
8297,IMP911122&&CNTRY884,0,0
8298,IMP975360&&CNTRY884,0,0
8299,IMP393792&&CNTRY454,0,0
8300,IMP601203&&CNTRY825,0,1
8301,IMP806769&&CNTRY615,0,0
8302,IMP381347&&CNTRY562,0,1
8303,IMP306414&&CNTRY846,0,0
8304,IMP870242&&CNTRY576,0,0
8305,IMP818025&&CNTRY994,0,0
8306,IMP329077&&CNTRY759,0,0
8307,IMP271485&&CNTRY884,0,0
8308,IMP325367&&CNTRY168,0,0
8309,IMP616173&&CNTRY376,0,0
8310,IMP911330&&CNTRY884,0,1
8311,IMP522051&&CNTRY277,0,0
8312,IMP190608&&CNTRY830,0,1
8313,IMP111414&&CNTRY859,0,1
8314,IMP523585&&CNTRY615,0,1
8315,IMP610563&&CNTRY562,0,0
8316,IMP653543&&CNTRY975,0,0
8317,IMP296065&&CNTRY771,0,0
8318,IMP117192&&CNTRY262,0,0
8319,IMP152015&&CNTRY701,0,0
8320,IMP853002&&CNTRY277,0,1
8321,IMP726222&&CNTRY759,0,1
8322,IMP233545&&CNTRY562,0,1
8323,IMP395619&&CNTRY407,0,0
8324,IMP763548&&CNTRY409,0,0
8325,IMP280692&&CNTRY576,0,0
8326,IMP253740&&CNTRY884,0,0
8327,IMP583722&&CNTRY747,0,0
8328,IMP412417&&CNTRY323,0,0
8329,IMP864757&&CNTRY615,0,0
8330,IMP798907&&CNTRY376,0,0
8331,IMP766364&&CNTRY759,0,0
8332,IMP143460&&CNTRY264,0,0
8333,IMP978668&&CNTRY759,0,1
8334,IMP117895&&CNTRY759,0,0
8335,IMP124597&&CNTRY884,0,1
8336,IMP285188&&CNTRY884,0,0
8337,IMP138552&&CNTRY454,0,0
8338,IMP832758&&CNTRY962,0,0
8339,IMP337976&&CNTRY713,0,0
8340,IMP902662&&CNTRY277,0,0
8341,IMP207129&&CNTRY378,0,0
8342,IMP222671&&CNTRY454,0,1
8343,IMP233628&&CNTRY615,0,0
8344,IMP833338&&CNTRY747,0,1
8345,IMP445164&&CNTRY277,1,1
8346,IMP212670&&CNTRY975,0,0
8347,IMP435297&&CNTRY376,0,0
8348,IMP239103&&CNTRY759,0,0
8349,IMP255951&&CNTRY830,0,0
8350,IMP606720&&CNTRY770,0,0
8351,IMP838860&&CNTRY554,0,0
8352,IMP733694&&CNTRY680,0,0
8353,IMP465914&&CNTRY659,0,0
8354,IMP243951&&CNTRY615,0,0
8355,IMPO11571&&CNTRY123,0,0
8356,IMPO16045&&CNTRY976,0,0
8357,IMPO11867&&CNTRY846,0,1
8358,IMPO11118&&CNTRY454,0,0
8359,IMPO17440&&CNTRY846,0,0
8360,IMPO10293&&CNTRY764,0,1
8361,IMPO15321&&CNTRY334,0,1
8362,IMPO15939&&CNTRY527,0,0
8363,IMPO14351&&CNTRY881,0,0
8364,IMPO16549&&CNTRY166,0,0
8365,IMPO17368&&CNTRY881,0,0
8366,IMPO19350&&CNTRY376,0,1
8367,IMPO17502&&CNTRY863,0,0
8368,IMPO11282&&CNTRY252,0,0
8369,IMPO12296&&CNTRY825,0,0
8370,IMPO13497&&CNTRY994,0,0
8371,IMPO18065&&CNTRY825,0,0
8372,IMPO10680&&CNTRY680,0,1
8373,IMPO15878&&CNTRY843,0,0
8374,IMPO11076&&CNTRY825,0,1
8375,IMPO13181&&CNTRY454,0,0
8376,IMPO15914&&CNTRY825,0,0
8377,IMPO10264&&CNTRY846,0,0
8378,IMPO10707&&CNTRY171,0,0
8379,IMPO13329&&CNTRY454,0,0
8380,IMPO16622&&CNTRY379,0,0
8381,IMPO10826&&CNTRY485,0,1
8382,IMPO12343&&CNTRY615,0,1
8383,IMPO11958&&CNTRY576,0,0
8384,IMPO14138&&CNTRY652,0,0
8385,IMPO13250&&CNTRY236,0,1
8386,IMPO11459&&CNTRY846,0,0
8387,IMPO15017&&CNTRY994,0,0
8388,IMPO16548&&CNTRY364,0,0
8389,IMPO17558&&CNTRY652,0,0
8390,IMPO12138&&CNTRY825,0,0
8391,IMPO11366&&CNTRY976,0,0
8392,IMPO16231&&CNTRY859,0,0
8393,IMPO15283&&CNTRY485,0,0
8394,IMPO18433&&CNTRY881,0,0
8395,IMPO10048&&CNTRY995,0,1
8396,IMPO11688&&CNTRY376,0,0
8397,IMPO16049&&CNTRY771,0,0
8398,IMPO10635&&CNTRY881,0,0
