,OFFICE&&IMPORTER.TIN,OFFICE&&IMPORTER.TIN_illicit_Qsum,OFFICE&&IMPORTER.TIN_illicit_Qrate
8216,OFFICE51&&IMP662947,0,0
8217,OFFICE87&&IMP782069,0,0
8218,OFFICE40&&IMP593975,0,0
8219,OFFICE24&&IMP994220,0,0
8220,OFFICE76&&IMP711631,0,0
8221,OFFICE78&&IMP732356,0,0
8222,OFFICE92&&IMP462435,0,0
8223,OFFICE51&&IMP538713,0,0
8224,OFFICE59&&IMP781428,0,0
8225,OFFICE52&&IMP447222,0,0
8226,OFFICE24&&IMP716000,0,1
8227,OFFICE35&&IMP355376,0,0
8228,OFFICE60&&IMP705348,0,0
8229,OFFICE24&&IMP428055,0,0
8230,OFFICE92&&IMP352125,0,0
8231,OFFICE45&&IMP884142,0,1
8232,OFFICE87&&IMP936849,0,0
8233,OFFICE51&&IMP992403,0,1
8234,OFFICE24&&IMP992026,0,0
8235,OFFICE94&&IMP538681,0,0
8236,OFFICE92&&IMP823322,0,0
8237,OFFICE60&&IMP450969,0,0
8238,OFFICE92&&IMP476478,0,1
8239,OFFICE40&&IMP154351,0,0
8240,OFFICE76&&IMP726719,0,0
8241,OFFICE51&&IMP721530,0,0
8242,OFFICE92&&IMP293691,0,0
8243,OFFICE60&&IMP346397,0,0
8244,OFFICE45&&IMP124597,0,0
8245,OFFICE51&&IMP355679,0,0
8246,OFFICE51&&IMP269455,0,0
8247,OFFICE24&&IMP857248,0,0
8248,OFFICE40&&IMP514650,0,1
8249,OFFICE51&&IMP167197,0,0
8250,OFFICE60&&IMP764530,0,1
8251,OFFICE76&&IMP141436,0,0
8252,OFFICE92&&IMP164293,0,0
8253,OFFICE35&&IMP782893,0,0
8254,OFFICE88&&IMP181720,0,0
8255,OFFICE76&&IMP682232,0,0
8256,OFFICE60&&IMP517696,0,0
8257,OFFICE92&&IMP750032,0,0
8258,OFFICE41&&IMP108528,0,1
8259,OFFICE51&&IMP347300,0,1
8260,OFFICE60&&IMP690700,0,1
8261,OFFICE40&&IMP746828,0,0
8262,OFFICE76&&IMP236573,0,1
8263,OFFICE35&&IMP651017,0,0
8264,OFFICE59&&IMP910745,0,0
8265,OFFICE59&&IMP551203,0,0
8266,OFFICE84&&IMP351195,0,0
8267,OFFICE59&&IMP975045,0,1
8268,OFFICE76&&IMP275359,0,0
8269,OFFICE45&&IMP236513,0,0
8270,OFFICE92&&IMP447299,0,0
8271,OFFICE76&&IMP938037,0,0
8272,OFFICE51&&IMP562993,0,1
8273,OFFICE24&&IMP152810,0,0
8274,OFFICE51&&IMP164613,0,0
8275,OFFICE81&&IMP197383,0,0
8276,OFFICE51&&IMP231833,0,0
8277,OFFICE60&&IMP589731,0,0
8278,OFFICE16&&IMP397091,0,0
8279,OFFICE40&&IMP750032,0,0
8280,OFFICE76&&IMP370421,0,1
8281,OFFICE187&&IMPO15817,0,0
8282,OFFICE187&&IMPO14457,0,0
8283,OFFICE134&&IMPO19363,0,0
8284,OFFICE299&&IMPO16184,0,0
8285,OFFICE127&&IMPO10020,0,0
8286,OFFICE168&&IMPO13543,0,0
8287,OFFICE174&&IMPO16622,0,0
8288,OFFICE298&&IMPO10700,0,0
8289,OFFICE237&&IMPO13030,0,0
8290,OFFICE237&&IMPO18943,0,0
8291,OFFICE288&&IMPO12052,0,1
8292,OFFICE113&&IMPO17736,0,0
8293,OFFICE132&&IMPO15101,0,0
8294,OFFICE136&&IMPO11193,0,0
8295,OFFICE185&&IMPO14067,0,1
8296,OFFICE109&&IMPO16916,0,0
8297,OFFICE162&&IMPO10680,0,0
8298,OFFICE168&&IMPO15391,0,0
8299,OFFICE162&&IMPO16524,0,0
8300,OFFICE237&&IMPO18212,0,0
8301,OFFICE186&&IMPO19757,0,0
8302,OFFICE222&&IMPO12219,0,0
8303,OFFICE127&&IMPO17287,0,0
8304,OFFICE185&&IMPO15783,0,0
8305,OFFICE186&&IMPO18531,0,0
8306,OFFICE134&&IMPO10166,0,0
8307,OFFICE168&&IMPO15852,0,0
8308,OFFICE127&&IMPO11958,0,0
8309,OFFICE100&&IMPO11439,0,1
8310,OFFICE296&&IMPO19315,0,0
8311,OFFICE185&&IMPO15571,0,0
8312,OFFICE185&&IMPO13665,0,0
8313,OFFICE204&&IMPO11642,0,0
8314,OFFICE109&&IMPO15909,0,0
8315,OFFICE127&&IMPO17772,0,0
8316,OFFICE134&&IMPO15135,0,0
8317,OFFICE162&&IMPO10970,0,0
8318,OFFICE105&&IMPO11651,0,0
8319,OFFICE288&&IMPO15880,0,0
8320,OFFICE136&&IMPO15403,0,0
8321,OFFICE187&&IMPO10103,0,0
8322,OFFICE298&&IMPO17249,0,0
8323,OFFICE134&&IMPO11444,0,0
8324,OFFICE127&&IMPO14840,0,0
8325,OFFICE185&&IMPO10976,0,0
8326,OFFICE298&&IMPO11274,0,0
8327,OFFICE237&&IMPO18743,0,0
8328,OFFICE204&&IMPO18189,0,0
8329,OFFICE162&&IMPO19284,0,0
8330,OFFICE185&&IMPO10088,0,0
8331,OFFICE185&&IMPO19080,0,0
8332,OFFICE100&&IMPO18141,0,0
8333,OFFICE109&&IMPO12213,0,0
8334,OFFICE168&&IMPO13749,0,0
8335,OFFICE185&&IMPO18767,0,1
8336,OFFICE186&&IMPO12616,0,1
8337,OFFICE234&&IMPO19390,0,1
8338,OFFICE187&&IMPO15028,0,1
8339,OFFICE185&&IMPO12909,0,1
8340,OFFICE214&&IMPO18767,0,0
8341,OFFICE168&&IMPO11379,0,1
8342,OFFICE298&&IMPO15485,0,0
8343,OFFICE174&&IMPO17926,0,0
8344,OFFICE214&&IMPO10845,0,0
8345,OFFICE214&&IMPO18141,0,1
8346,OFFICE100&&IMPO19381,0,0
8347,OFFICE111&&IMPO13652,0,0
8348,OFFICE109&&IMPO10983,0,0
8349,OFFICE100&&IMPO15913,0,0
8350,OFFICE168&&IMPO17140,0,0
8351,OFFICE204&&IMPO18238,0,0
8352,OFFICE109&&IMPO17462,0,0
8353,OFFICE134&&IMPO17815,0,0
8354,OFFICE109&&IMPO16865,0,0
8355,OFFICE299&&IMPO13519,0,1
8356,OFFICE204&&IMPO12748,0,0
8357,OFFICE141&&IMPO15934,0,1
8358,OFFICE127&&IMPO15135,0,0
8359,OFFICE162&&IMPO13672,0,0
8360,OFFICE222&&IMPO12647,0,0
8361,OFFICE168&&IMPO13854,0,0
8362,OFFICE185&&IMPO17948,0,1
8363,OFFICE168&&IMPO11193,0,0
8364,OFFICE298&&IMPO14890,0,0
8365,OFFICE186&&IMPO10401,0,0
8366,OFFICE162&&IMPO19285,0,0
8367,OFFICE122&&IMPO13906,0,0
8368,OFFICE214&&IMPO14035,0,0
8369,OFFICE187&&IMPO10652,0,0
8370,OFFICE162&&IMPO13913,0,0
8371,OFFICE178&&IMPO18475,0,0
8372,OFFICE109&&IMPO17538,0,0
8373,OFFICE40&&IMP911122,0,0
8374,OFFICE40&&IMP593987,0,0
8375,OFFICE96&&IMP975360,0,0
8376,OFFICE24&&IMP601203,0,1
8377,OFFICE35&&IMP806769,0,0
8378,OFFICE76&&IMP872565,0,1
8379,OFFICE24&&IMP468811,0,0
8380,OFFICE40&&IMP306414,0,0
8381,OFFICE24&&IMP818025,0,0
8382,OFFICE60&&IMP329077,0,1
8383,OFFICE76&&IMP271485,0,0
8384,OFFICE23&&IMP325367,0,0
8385,OFFICE51&&IMP563861,0,0
8386,OFFICE76&&IMP190608,0,1
8387,OFFICE24&&IMP111414,1,1
8388,OFFICE35&&IMP523585,0,1
8389,OFFICE40&&IMP610563,0,1
8390,OFFICE76&&IMP653543,0,0
8391,OFFICE35&&IMP296065,0,0
8392,OFFICE45&&IMP117192,0,0
8393,OFFICE76&&IMP233545,0,1
8394,OFFICE24&&IMP253740,0,1
8395,OFFICE59&&IMP583722,0,0
8396,OFFICE24&&IMP293794,0,0
8397,OFFICE51&&IMP864757,0,0
8398,OFFICE24&&IMP182858,0,0
8399,OFFICE60&&IMP798907,0,1
8400,OFFICE45&&IMP766364,0,0
8401,OFFICE60&&IMP978668,0,1
8402,OFFICE35&&IMP117895,0,0
8403,OFFICE51&&IMP285188,0,0
8404,OFFICE16&&IMP832758,0,0
8405,OFFICE24&&IMP585253,0,0
8406,OFFICE40&&IMP337976,0,0
8407,OFFICE45&&IMP222671,0,0
8408,OFFICE23&&IMP106237,0,0
8409,OFFICE59&&IMP833338,0,1
8410,OFFICE59&&IMP667381,0,0
8411,OFFICE59&&IMP212670,0,0
8412,OFFICE40&&IMP596580,0,1
8413,OFFICE59&&IMP239103,0,0
8414,OFFICE96&&IMP255951,0,0
8415,OFFICE23&&IMP606720,0,0
8416,OFFICE45&&IMP838860,0,0
8417,OFFICE60&&IMP733694,0,0
8418,OFFICE45&&IMP465914,0,0
8419,OFFICE40&&IMP662011,0,1
8420,OFFICE60&&IMP179618,0,1
8421,OFFICE204&&IMPO11571,0,0
8422,OFFICE296&&IMPO11867,0,1
8423,OFFICE298&&IMPO14627,0,0
8424,OFFICE296&&IMPO11118,0,0
8425,OFFICE187&&IMPO17440,0,0
8426,OFFICE296&&IMPO10293,0,1
8427,OFFICE140&&IMPO15939,0,0
8428,OFFICE186&&IMPO14351,0,0
8429,OFFICE109&&IMPO16549,0,0
8430,OFFICE109&&IMPO19350,0,1
8431,OFFICE185&&IMPO17502,0,0
8432,OFFICE100&&IMPO15321,0,0
8433,OFFICE162&&IMPO11282,0,0
8434,OFFICE186&&IMPO12296,0,0
8435,OFFICE237&&IMPO13497,0,0
8436,OFFICE168&&IMPO18065,0,0
8437,OFFICE168&&IMPO10680,1,1
8438,OFFICE174&&IMPO15878,0,0
8439,OFFICE141&&IMPO11076,0,1
8440,OFFICE186&&IMPO15914,0,0
8441,OFFICE168&&IMPO10264,0,0
8442,OFFICE210&&IMPO18703,0,0
8443,OFFICE185&&IMPO10707,0,0
8444,OFFICE185&&IMPO13329,0,0
8445,OFFICE113&&IMPO10826,0,1
8446,OFFICE223&&IMPO14138,0,0
8447,OFFICE222&&IMPO13250,0,1
8448,OFFICE162&&IMPO11459,0,0
8449,OFFICE185&&IMPO15017,0,0
8450,OFFICE186&&IMPO16184,0,0
8451,OFFICE100&&IMPO13495,0,0
8452,OFFICE185&&IMPO16548,0,0
8453,OFFICE204&&IMPO17558,0,0
8454,OFFICE185&&IMPO12138,0,0
8455,OFFICE187&&IMPO12500,0,0
8456,OFFICE100&&IMPO11366,0,0
8457,OFFICE101&&IMPO16231,0,0
8458,OFFICE204&&IMPO15283,0,0
8459,OFFICE237&&IMPO10423,1,1
8460,OFFICE296&&IMPO10048,0,1
8461,OFFICE187&&IMPO11688,0,0
8462,OFFICE288&&IMPO16049,0,0
8463,OFFICE296&&IMPO10635,0,0
8464,OFFICE141&&IMPO19516,0,0
8465,OFFICE132&&IMPO14713,0,1
8466,OFFICE197&&IMPO10976,0,0
8467,OFFICE204&&IMPO13286,0,0
8468,OFFICE298&&IMPO18747,0,0
8469,OFFICE100&&IMPO17073,0,0
8470,OFFICE109&&IMPO11691,0,0
8471,OFFICE168&&IMPO14044,0,1
8472,OFFICE134&&IMPO11353,0,0
8473,OFFICE100&&IMPO13618,0,1
8474,OFFICE297&&IMPO11444,0,0
8475,OFFICE178&&IMPO17368,0,1
8476,OFFICE168&&IMPO10550,0,0
8477,OFFICE127&&IMPO17354,0,0
8478,OFFICE197&&IMPO15955,0,0
8479,OFFICE187&&IMPO11517,0,0
8480,OFFICE109&&IMPO14790,0,1
8481,OFFICE237&&IMPO16860,0,1
8482,OFFICE187&&IMPO11261,0,0
8483,OFFICE287&&IMPO16405,0,0
8484,OFFICE214&&IMPO17462,0,0
8485,OFFICE214&&IMPO13685,0,0
8486,OFFICE298&&IMPO11464,0,0
8487,OFFICE168&&IMPO10856,0,0
8488,OFFICE109&&IMPO12398,0,0
8489,OFFICE162&&IMPO18205,0,0
8490,OFFICE204&&IMPO12489,0,0
8491,OFFICE109&&IMPO14698,0,0
8492,OFFICE141&&IMPO18767,0,1
8493,OFFICE100&&IMPO10667,0,0
8494,OFFICE296&&IMPO16537,0,0
8495,OFFICE162&&IMPO11712,0,0
8496,OFFICE197&&IMPO12478,0,1
8497,OFFICE132&&IMPO13718,0,0
8498,OFFICE296&&IMPO15100,0,0
8499,OFFICE100&&IMPO12258,0,0
8500,OFFICE162&&IMPO13589,0,0
8501,OFFICE162&&IMPO11695,0,0
8502,OFFICE185&&IMPO12030,0,1
8503,OFFICE204&&IMPO17253,0,0
8504,OFFICE187&&IMPO11934,0,0
8505,OFFICE132&&IMPO10401,0,0
8506,OFFICE204&&IMPO12772,0,0
8507,OFFICE185&&IMPO19086,0,0
8508,OFFICE113&&IMPO14996,0,0
8509,OFFICE214&&IMPO12939,0,0
8510,OFFICE51&&IMP462897,0,0
8511,OFFICE18&&IMP183301,0,0
8512,OFFICE92&&IMP138552,0,1
8513,OFFICE24&&IMP525727,0,0
8514,OFFICE40&&IMP191492,0,0
8515,OFFICE23&&IMP896033,0,0
8516,OFFICE96&&IMP413416,0,0
8517,OFFICE23&&IMP933743,0,0
8518,OFFICE76&&IMP810832,0,0
8519,OFFICE59&&IMP599690,0,1
8520,OFFICE94&&IMP836862,0,0
8521,OFFICE59&&IMP809174,0,0
8522,OFFICE23&&IMP178369,0,0
8523,OFFICE59&&IMP195967,0,0
8524,OFFICE51&&IMP162884,0,0
8525,OFFICE78&&IMP292772,0,0
8526,OFFICE76&&IMP517258,0,0
8527,OFFICE24&&IMP818754,0,0
8528,OFFICE60&&IMP583214,0,0
8529,OFFICE92&&IMP588607,0,1
8530,OFFICE40&&IMP638144,0,0
8531,OFFICE60&&IMP638175,0,1
8532,OFFICE24&&IMP900492,0,0
8533,OFFICE34&&IMP881714,0,1
8534,OFFICE41&&IMP901960,0,0
8535,OFFICE84&&IMP786224,0,0
8536,OFFICE18&&IMP450715,0,0
8537,OFFICE60&&IMP187612,0,1
8538,OFFICE23&&IMP826164,0,0
8539,OFFICE51&&IMP118321,0,0
8540,OFFICE92&&IMP608874,0,0
8541,OFFICE92&&IMP410998,0,0
8542,OFFICE96&&IMP386453,0,0
8543,OFFICE51&&IMP597055,0,1
8544,OFFICE59&&IMP454547,0,0
8545,OFFICE127&&IMPO19684,0,0
8546,OFFICE296&&IMPO12978,0,0
8547,OFFICE126&&IMPO14338,0,0
8548,OFFICE178&&IMPO19604,0,0
8549,OFFICE187&&IMPO12721,0,1
8550,OFFICE109&&IMPO13473,0,0
8551,OFFICE237&&IMPO10804,0,0
8552,OFFICE186&&IMPO10102,0,0
8553,OFFICE109&&IMPO13855,0,0
8554,OFFICE210&&IMPO19649,0,0
8555,OFFICE127&&IMPO10589,0,0
8556,OFFICE252&&IMPO15783,0,0
8557,OFFICE187&&IMPO19384,0,0
8558,OFFICE162&&IMPO19390,0,0
8559,OFFICE279&&IMPO19899,0,0
8560,OFFICE204&&IMPO19364,0,0
8561,OFFICE187&&IMPO14707,0,0
8562,OFFICE222&&IMPO16455,0,0
8563,OFFICE299&&IMPO17967,0,0
8564,OFFICE111&&IMPO11284,0,0
8565,OFFICE134&&IMPO17566,0,0
8566,OFFICE298&&IMPO10462,0,0
8567,OFFICE141&&IMPO17492,0,0
8568,OFFICE237&&IMPO10321,0,0
8569,OFFICE100&&IMPO12535,0,0
8570,OFFICE134&&IMPO10511,0,1
8571,OFFICE287&&IMPO11976,0,0
8572,OFFICE237&&IMPO18932,0,0
8573,OFFICE186&&IMPO10650,0,0
8574,OFFICE298&&IMPO10582,0,0
8575,OFFICE210&&IMPO18194,0,1
8576,OFFICE287&&IMPO13561,0,0
8577,OFFICE132&&IMPO18529,0,0
8578,OFFICE185&&IMPO11855,0,1
8579,OFFICE299&&IMPO15168,0,1
8580,OFFICE109&&IMPO19132,0,1
8581,OFFICE237&&IMPO12319,0,0
8582,OFFICE237&&IMPO10085,0,0
8583,OFFICE287&&IMPO13789,0,1
8584,OFFICE197&&IMPO14815,0,0
8585,OFFICE132&&IMPO18806,0,0
8586,OFFICE162&&IMPO16873,0,0
8587,OFFICE214&&IMPO10514,0,0
8588,OFFICE187&&IMPO13214,0,0
8589,OFFICE100&&IMPO15535,0,0
8590,OFFICE100&&IMPO10763,0,0
8591,OFFICE162&&IMPO17538,0,0
8592,OFFICE168&&IMPO16296,0,0
8593,OFFICE168&&IMPO17178,0,0
8594,OFFICE187&&IMPO16524,0,0
8595,OFFICE197&&IMPO11691,0,0
8596,OFFICE134&&IMPO16473,0,0
8597,OFFICE132&&IMPO14551,0,0
8598,OFFICE141&&IMPO18697,0,1
8599,OFFICE237&&IMPO19189,0,0
8600,OFFICE243&&IMPO19132,0,0
8601,OFFICE186&&IMPO17718,0,0
8602,OFFICE100&&IMPO11188,0,1
8603,OFFICE123&&IMPO13247,0,0
8604,OFFICE123&&IMPO17913,0,0
8605,OFFICE298&&IMPO18164,0,1
8606,OFFICE168&&IMPO15756,0,0
8607,OFFICE186&&IMPO14670,0,0
8608,OFFICE126&&IMPO13975,0,0
8609,OFFICE180&&IMPO19003,0,1
8610,OFFICE168&&IMPO17778,0,0
8611,OFFICE186&&IMPO13894,0,1
8612,OFFICE197&&IMPO14414,0,0
8613,OFFICE298&&IMPO18809,0,0
8614,OFFICE185&&IMPO17091,0,1
8615,OFFICE186&&IMPO12376,0,1
8616,OFFICE134&&IMPO14259,0,0
8617,OFFICE141&&IMPO13754,0,0
8618,OFFICE204&&IMPO12985,0,0
8619,OFFICE296&&IMPO15689,0,0
8620,OFFICE214&&IMPO18588,0,0
8621,OFFICE204&&IMPO18778,0,0
8622,OFFICE187&&IMPO10676,0,0
8623,OFFICE296&&IMPO13495,0,1
8624,OFFICE196&&IMPO13850,0,0
8625,OFFICE214&&IMPO13347,0,0
8626,OFFICE109&&IMPO17986,0,1
8627,OFFICE127&&IMPO19930,0,0
8628,OFFICE204&&IMPO11075,0,0
8629,OFFICE296&&IMPO10228,0,0
8630,OFFICE92&&IMP509522,0,0
8631,OFFICE51&&IMP380484,0,0
8632,OFFICE59&&IMP791348,0,1
8633,OFFICE76&&IMP755913,0,0
8634,OFFICE40&&IMP476478,0,0
8635,OFFICE96&&IMP187870,0,0
8636,OFFICE60&&IMP765281,0,0
8637,OFFICE92&&IMP975819,0,0
8638,OFFICE52&&IMP143460,0,0
8639,OFFICE92&&IMP235398,0,0
8640,OFFICE24&&IMP412513,0,0
8641,OFFICE24&&IMP139464,0,0
8642,OFFICE18&&IMP304745,0,0
8643,OFFICE76&&IMP223882,0,0
8644,OFFICE18&&IMP165224,0,0
8645,OFFICE76&&IMP130305,0,0
8646,OFFICE51&&IMP240313,0,1
8647,OFFICE92&&IMP199945,0,0
8648,OFFICE45&&IMP842503,0,1
8649,OFFICE60&&IMP635985,0,0
8650,OFFICE60&&IMP766474,0,0
8651,OFFICE59&&IMP419010,0,0
8652,OFFICE51&&IMP605493,0,0
8653,OFFICE45&&IMP853002,0,0
8654,OFFICE51&&IMP902079,0,0
8655,OFFICE45&&IMP597213,0,1
8656,OFFICE40&&IMP427687,0,0
8657,OFFICE23&&IMP101341,0,0
8658,OFFICE45&&IMP839600,0,0
8659,OFFICE59&&IMP441025,0,1
8660,OFFICE78&&IMP538442,0,0
8661,OFFICE59&&IMP241553,0,0
8662,OFFICE23&&IMP708485,0,0
8663,OFFICE96&&IMP866339,0,0
8664,OFFICE24&&IMP833078,0,0
8665,OFFICE59&&IMP552733,0,1
8666,OFFICE40&&IMP763548,1,1
8667,OFFICE24&&IMP444534,0,0
8668,OFFICE34&&IMP978293,0,1
8669,OFFICE16&&IMP258218,0,0
8670,OFFICE51&&IMP502214,0,0
8671,OFFICE60&&IMP944455,1,1
8672,OFFICE92&&IMP562113,0,0
8673,OFFICE51&&IMP244709,0,0
8674,OFFICE51&&IMP749048,0,0
8675,OFFICE66&&IMP430499,0,0
8676,OFFICE51&&IMP181309,0,1
8677,OFFICE51&&IMP155958,0,1
8678,OFFICE76&&IMP924304,1,1
8679,OFFICE52&&IMP100326,0,0
8680,OFFICE96&&IMP658122,0,0
8681,OFFICE24&&IMP202515,0,0
8682,OFFICE59&&IMP781895,0,0
8683,OFFICE60&&IMP493823,0,1
8684,OFFICE76&&IMP577611,0,1
8685,OFFICE52&&IMP477925,0,0
8686,OFFICE81&&IMP273525,0,1
8687,OFFICE59&&IMP941868,0,0
8688,OFFICE23&&IMP657032,0,1
8689,OFFICE76&&IMP542836,0,0
8690,OFFICE81&&IMP129307,0,0
8691,OFFICE34&&IMP942284,0,0
8692,OFFICE214&&IMPO15198,0,0
8693,OFFICE222&&IMPO15719,0,0
8694,OFFICE288&&IMPO15360,0,0
8695,OFFICE100&&IMPO19554,0,0
8696,OFFICE237&&IMPO13783,0,0
8697,OFFICE109&&IMPO15849,0,0
8698,OFFICE298&&IMPO14867,0,0
8699,OFFICE109&&IMPO16429,0,1
8700,OFFICE296&&IMPO12346,0,0
8701,OFFICE180&&IMPO12343,0,0
8702,OFFICE297&&IMPO16094,0,1
8703,OFFICE101&&IMPO12802,0,0
8704,OFFICE210&&IMPO13495,0,0
8705,OFFICE204&&IMPO11998,0,0
8706,OFFICE168&&IMPO15313,0,0
8707,OFFICE237&&IMPO15520,0,0
8708,OFFICE185&&IMPO16784,0,0
8709,OFFICE126&&IMPO16462,0,1
8710,OFFICE292&&IMPO19981,0,0
8711,OFFICE210&&IMPO11469,0,0
8712,OFFICE298&&IMPO18647,0,0
8713,OFFICE292&&IMPO19747,0,0
8714,OFFICE127&&IMPO17112,0,0
8715,OFFICE204&&IMPO12167,0,0
8716,OFFICE292&&IMPO13355,0,1
8717,OFFICE299&&IMPO11145,0,1
8718,OFFICE296&&IMPO11444,0,0
8719,OFFICE197&&IMPO19273,0,0
8720,OFFICE298&&IMPO11469,0,0
8721,OFFICE100&&IMPO12372,0,0
8722,OFFICE109&&IMPO16918,0,0
8723,OFFICE168&&IMPO15878,0,0
8724,OFFICE187&&IMPO18432,0,0
8725,OFFICE243&&IMPO19363,0,0
8726,OFFICE197&&IMPO15707,0,0
8727,OFFICE185&&IMPO11810,0,0
8728,OFFICE234&&IMPO17140,0,1
8729,OFFICE196&&IMPO12398,0,0
8730,OFFICE186&&IMPO18400,0,0
8731,OFFICE237&&IMPO14730,0,0
8732,OFFICE178&&IMPO17115,0,0
8733,OFFICE204&&IMPO18973,0,0
8734,OFFICE222&&IMPO18960,0,1
8735,OFFICE162&&IMPO10539,0,0
8736,OFFICE243&&IMPO15506,0,0
8737,OFFICE196&&IMPO15492,0,1
8738,OFFICE127&&IMPO12809,0,0
8739,OFFICE197&&IMPO13181,0,0
8740,OFFICE185&&IMPO19148,0,0
8741,OFFICE134&&IMPO15767,0,0
8742,OFFICE187&&IMPO14395,0,0
8743,OFFICE237&&IMPO17796,0,0
8744,OFFICE134&&IMPO18348,0,0
8745,OFFICE141&&IMPO15955,0,0
8746,OFFICE197&&IMPO12219,0,0
8747,OFFICE211&&IMPO10070,0,0
8748,OFFICE299&&IMPO17396,0,0
8749,OFFICE109&&IMPO16995,0,0
8750,OFFICE237&&IMPO18849,0,1
8751,OFFICE162&&IMPO16794,0,0
8752,OFFICE296&&IMPO18898,0,1
8753,OFFICE237&&IMPO18295,0,0
8754,OFFICE186&&IMPO19546,0,0
8755,OFFICE292&&IMPO10723,0,0
8756,OFFICE296&&IMPO18674,0,0
8757,OFFICE237&&IMPO18898,0,0
8758,OFFICE210&&IMPO15506,0,0
8759,OFFICE134&&IMPO12357,0,0
8760,OFFICE299&&IMPO11691,0,0
8761,OFFICE296&&IMPO14301,0,0
8762,OFFICE134&&IMPO17450,0,0
8763,OFFICE180&&IMPO14402,0,0
8764,OFFICE296&&IMPO12785,0,0
8765,OFFICE296&&IMPO10672,0,0
8766,OFFICE296&&IMPO11629,0,0
8767,OFFICE237&&IMPO11691,0,0
8768,OFFICE168&&IMPO19182,0,0
8769,OFFICE136&&IMPO19809,0,1
8770,OFFICE296&&IMPO19318,0,0
8771,OFFICE185&&IMPO16315,0,0
8772,OFFICE187&&IMPO15592,0,0
8773,OFFICE101&&IMPO17329,0,1
8774,OFFICE134&&IMPO13097,0,0
8775,OFFICE204&&IMPO19363,0,0
8776,OFFICE141&&IMPO11464,0,0
8777,OFFICE76&&IMP200610,0,0
8778,OFFICE87&&IMP647160,0,0
8779,OFFICE51&&IMP440317,0,0
8780,OFFICE45&&IMP370421,0,0
8781,OFFICE60&&IMP872553,0,1
8782,OFFICE60&&IMP185728,0,0
8783,OFFICE59&&IMP322276,0,0
8784,OFFICE78&&IMP939190,0,1
8785,OFFICE96&&IMP848917,0,0
8786,OFFICE23&&IMP810862,0,0
8787,OFFICE96&&IMP259604,0,0
8788,OFFICE40&&IMP671861,0,0
8789,OFFICE59&&IMP563766,0,0
8790,OFFICE51&&IMP673892,0,0
8791,OFFICE59&&IMP479537,0,0
8792,OFFICE76&&IMP813765,0,0
8793,OFFICE76&&IMP994823,0,0
8794,OFFICE59&&IMP280897,0,0
8795,OFFICE78&&IMP750663,0,0
8796,OFFICE76&&IMP766914,0,0
8797,OFFICE92&&IMP358915,0,0
8798,OFFICE24&&IMP175445,0,0
8799,OFFICE66&&IMP602858,0,0
8800,OFFICE60&&IMP873935,0,0
8801,OFFICE45&&IMP544706,0,0
8802,OFFICE59&&IMP485242,0,0
8803,OFFICE45&&IMP150787,0,0
8804,OFFICE59&&IMP503241,0,1
8805,OFFICE40&&IMP278851,0,0
8806,OFFICE76&&IMP694837,0,0
8807,OFFICE76&&IMP177495,0,0
8808,OFFICE92&&IMP508780,0,0
8809,OFFICE34&&IMP159606,0,1
8810,OFFICE92&&IMP774354,0,1
8811,OFFICE40&&IMP530873,0,1
8812,OFFICE24&&IMP179534,0,0
8813,OFFICE45&&IMP776291,0,1
8814,OFFICE51&&IMP928968,0,0
8815,OFFICE45&&IMP478176,0,0
8816,OFFICE51&&IMP358941,0,0
8817,OFFICE60&&IMP482584,0,0
8818,OFFICE45&&IMP673608,0,0
8819,OFFICE76&&IMP526545,0,0
8820,OFFICE92&&IMP323737,0,0
8821,OFFICE81&&IMP451441,0,1
8822,OFFICE92&&IMP863876,0,0
8823,OFFICE24&&IMP370421,0,0
8824,OFFICE87&&IMP329883,0,0
8825,OFFICE100&&IMPO11353,0,0
8826,OFFICE168&&IMPO13124,0,0
8827,OFFICE298&&IMPO13618,1,1
8828,OFFICE187&&IMPO12993,0,0
8829,OFFICE237&&IMPO11469,0,0
8830,OFFICE197&&IMPO18788,0,0
8831,OFFICE168&&IMPO14922,0,0
8832,OFFICE237&&IMPO14506,0,0
8833,OFFICE298&&IMPO15064,0,0
8834,OFFICE296&&IMPO15283,0,0
8835,OFFICE197&&IMPO19250,0,1
8836,OFFICE134&&IMPO10143,0,0
8837,OFFICE187&&IMPO14053,0,1
8838,OFFICE298&&IMPO11062,0,0
8839,OFFICE197&&IMPO19832,0,0
8840,OFFICE204&&IMPO18472,0,0
8841,OFFICE296&&IMPO14996,0,1
8842,OFFICE246&&IMPO19361,0,0
8843,OFFICE204&&IMPO14904,0,1
8844,OFFICE141&&IMPO16184,0,0
8845,OFFICE197&&IMPO18468,0,0
8846,OFFICE168&&IMPO11192,0,0
8847,OFFICE214&&IMPO17483,0,0
8848,OFFICE296&&IMPO19948,0,0
8849,OFFICE204&&IMPO14617,0,0
8850,OFFICE178&&IMPO14441,0,1
8851,OFFICE214&&IMPO12953,0,0
8852,OFFICE214&&IMPO18606,0,0
8853,OFFICE123&&IMPO16722,0,0
8854,OFFICE186&&IMPO18050,0,0
8855,OFFICE197&&IMPO14129,0,0
8856,OFFICE288&&IMPO10976,0,0
8857,OFFICE185&&IMPO18843,0,0
8858,OFFICE222&&IMPO18906,0,0
8859,OFFICE113&&IMPO18087,0,0
