,OFFICE&&TARIFF.CODE,OFFICE&&TARIFF.CODE_illicit_Qsum,OFFICE&&TARIFF.CODE_illicit_Qrate
6022,OFFICE298&&8704219969,0,0
6023,OFFICE109&&2710122111,0,0
6024,OFFICE197&&4202921909,0,0
6025,OFFICE237&&8207909100,0,0
6026,OFFICE127&&8481309909,0,0
6027,OFFICE197&&9403109300,0,0
6028,OFFICE174&&7419999099,0,0
6029,OFFICE214&&6114300002,0,0
6030,OFFICE187&&7304318000,0,0
6031,OFFICE214&&9607110000,0,0
6032,OFFICE186&&8483902000,0,0
6033,OFFICE204&&7307998000,0,0
6034,OFFICE296&&6104420009,0,0
6035,OFFICE168&&8483308009,0,0
6036,OFFICE222&&8512200091,0,2
6037,OFFICE287&&8483402300,0,2
6038,OFFICE214&&2922498500,0,2
6039,OFFICE141&&3904220009,0,2
6040,OFFICE127&&8803300001,0,0
6041,OFFICE140&&4821909000,0,0
6042,OFFICE168&&8471410000,0,0
6043,OFFICE162&&1801000010,0,0
6044,OFFICE234&&2710129099,0,2
6045,OFFICE222&&8508600000,0,0
6046,OFFICE123&&8703319090,0,0
6047,OFFICE288&&1701991009,0,2
6048,OFFICE187&&4203291000,0,2
6049,OFFICE122&&8483602002,0,0
6050,OFFICE185&&8536901020,0,0
6051,OFFICE168&&6006329000,0,0
6052,OFFICE127&&4819200090,0,0
6053,OFFICE127&&3823110000,0,0
6054,OFFICE174&&8428102010,0,2
6055,OFFICE109&&5407430000,0,0
6056,OFFICE105&&5806200000,0,0
6057,OFFICE109&&3920431000,0,0
6058,OFFICE296&&8708943500,0,0
6059,OFFICE298&&8533210000,0,0
6060,OFFICE204&&8533210000,0,0
6061,OFFICE298&&9018390000,0,0
6062,OFFICE162&&8536508096,0,0
6063,OFFICE113&&3926909229,0,0
6064,OFFICE127&&4010320009,1,2
6065,OFFICE252&&6210109809,0,2
6066,OFFICE167&&6310900090,0,0
6067,OFFICE187&&7326904000,0,2
6068,OFFICE204&&8203100000,0,0
6069,OFFICE252&&3306100000,0,2
6070,OFFICE185&&5407100000,0,0
6071,OFFICE127&&2208304101,0,0
6072,OFFICE214&&8511400009,0,0
6073,OFFICE178&&5903909900,0,2
6074,OFFICE214&&3703100009,0,0
6075,OFFICE185&&9027809909,0,0
6076,OFFICE237&&8536508096,0,2
6077,OFFICE185&&3924900008,0,0
6078,OFFICE279&&2710124591,0,0
6079,OFFICE76&&8205100000,0,2
6080,OFFICE84&&2922420043,0,0
6081,OFFICE76&&3501900000,0,2
6082,OFFICE60&&8479890000,0,0
6083,OFFICE59&&8438800000,0,0
6084,OFFICE51&&8478900000,0,0
6085,OFFICE96&&8455300000,0,0
6086,OFFICE84&&7010901200,0,0
6087,OFFICE51&&2101200000,0,0
6088,OFFICE18&&8703241128,0,0
6089,OFFICE51&&2615900000,0,2
6090,OFFICE78&&8429110000,0,2
6091,OFFICE16&&7304230000,0,0
6092,OFFICE59&&8703241135,0,0
6093,OFFICE60&&4013100000,0,0
6094,OFFICE59&&4504900000,0,0
6095,OFFICE92&&4009210000,0,0
6096,OFFICE60&&7310000000,0,2
6097,OFFICE24&&6704200000,0,0
6098,OFFICE88&&6813810000,0,0
6099,OFFICE96&&3923900000,0,2
6100,OFFICE60&&2936210000,0,0
6101,OFFICE186&&8512909009,1,2
6102,OFFICE186&&3215190000,0,0
6103,OFFICE233&&2402209002,0,0
6104,OFFICE141&&5609000000,0,0
6105,OFFICE187&&6805100000,0,0
6106,OFFICE298&&8708999300,0,0
6107,OFFICE186&&2836400090,0,0
6108,OFFICE105&&4819100000,0,0
6109,OFFICE141&&406907800,0,0
6110,OFFICE234&&4911990099,0,0
6111,OFFICE178&&8544429099,0,0
6112,OFFICE141&&8451900009,0,0
6113,OFFICE197&&8215999009,0,0
6114,OFFICE127&&6006900090,0,0
6115,OFFICE168&&3204150000,0,2
6116,OFFICE162&&910999909,0,0
6117,OFFICE204&&8481309909,0,0
6118,OFFICE237&&8536699090,0,2
6119,OFFICE168&&7318220000,0,0
6120,OFFICE117&&7211290000,0,0
6121,OFFICE204&&5205120001,0,0
6122,OFFICE174&&9607110000,0,0
6123,OFFICE233&&8482109000,0,2
6124,OFFICE287&&8471705000,0,0
6125,OFFICE296&&9018509001,0,0
6126,OFFICE105&&3917219000,0,2
6127,OFFICE185&&5806390090,0,0
6128,OFFICE134&&8481809998,0,0
6129,OFFICE141&&2922500000,0,0
6130,OFFICE180&&8419190003,0,0
6131,OFFICE296&&6806100000,0,0
6132,OFFICE105&&9606210000,0,0
6133,OFFICE187&&1704905500,0,0
6134,OFFICE185&&8203200009,0,0
6135,OFFICE204&&2905449900,0,0
6136,OFFICE127&&8511500007,0,0
6137,OFFICE220&&8481309100,0,0
6138,OFFICE243&&7606129200,1,2
6139,OFFICE204&&6109100009,0,0
6140,OFFICE100&&8486400010,0,0
6141,OFFICE122&&8609009090,0,0
6142,OFFICE204&&8308200009,0,0
6143,OFFICE237&&7308300000,0,0
6144,OFFICE100&&8207309000,0,0
6145,OFFICE100&&8542319090,0,0
6146,OFFICE109&&6004100000,0,0
6147,OFFICE298&&8433900099,0,0
6148,OFFICE127&&8474909000,0,0
6149,OFFICE134&&8443999040,0,0
6150,OFFICE214&&8542399090,0,2
6151,OFFICE162&&8308100000,0,0
6152,OFFICE109&&4802551589,0,0
6153,OFFICE180&&2932190000,0,2
6154,OFFICE167&&7307910000,0,0
6155,OFFICE204&&5407840000,0,0
6156,OFFICE298&&3305100000,0,2
6157,OFFICE162&&8708299009,0,0
6158,OFFICE168&&8424890090,0,0
6159,OFFICE109&&8309909099,0,0
6160,OFFICE178&&8308900091,0,0
6161,OFFICE134&&6006420000,0,2
6162,OFFICE214&&4802552530,0,2
6163,OFFICE100&&8708309909,0,0
6164,OFFICE296&&8536508096,0,0
6165,OFFICE187&&8512200092,0,0
6166,OFFICE127&&804100009,0,0
6167,OFFICE52&&8516500000,0,0
6168,OFFICE24&&7010902900,0,0
6169,OFFICE35&&2914700000,0,0
6170,OFFICE87&&6208910000,0,0
6171,OFFICE23&&8536100000,1,2
6172,OFFICE94&&8703222900,0,0
6173,OFFICE76&&303780000,0,0
6174,OFFICE51&&1207209000,0,2
6175,OFFICE34&&7323940000,0,0
6176,OFFICE81&&8527290000,0,0
6177,OFFICE52&&8703241128,0,0
6178,OFFICE40&&8703221917,0,0
6179,OFFICE51&&2930000000,0,0
6180,OFFICE60&&8708400000,0,0
6181,OFFICE35&&2202900091,0,0
6182,OFFICE59&&2915700000,1,2
6183,OFFICE59&&8544110000,0,0
6184,OFFICE40&&7019390000,0,0
6185,OFFICE81&&405100000,0,2
6186,OFFICE81&&8703222900,0,0
6187,OFFICE59&&3917401000,0,0
6188,OFFICE51&&4418900000,0,0
6189,OFFICE45&&2836500000,0,0
6190,OFFICE51&&6505900000,0,0
6191,OFFICE60&&5402690000,0,2
6192,OFFICE59&&3403990000,0,0
6193,OFFICE76&&4016990000,0,2
6194,OFFICE40&&6303990000,0,0
6195,OFFICE51&&8474900000,0,0
6196,OFFICE40&&7604290000,0,2
6197,OFFICE76&&8443990000,0,0
6198,OFFICE40&&8408200000,0,2
6199,OFFICE51&&8448590000,0,2
6200,OFFICE92&&2915390000,0,0
6201,OFFICE60&&9017300000,0,0
6202,OFFICE92&&402211000,0,0
6203,OFFICE81&&2914290000,0,2
6204,OFFICE132&&6107190099,0,2
6205,OFFICE187&&7318152000,1,2
6206,OFFICE197&&9606100010,0,0
6207,OFFICE237&&4810310000,0,0
6208,OFFICE187&&8504108009,0,0
6209,OFFICE187&&9026202009,0,0
6210,OFFICE222&&7323990008,0,0
6211,OFFICE296&&8473308000,0,0
6212,OFFICE296&&7009920000,0,0
6213,OFFICE180&&8415900090,0,0
6214,OFFICE214&&6110309903,0,0
6215,OFFICE134&&8421990020,0,0
6216,OFFICE223&&8426990099,0,2
6217,OFFICE289&&3801209000,0,0
6218,OFFICE204&&9607110000,0,2
6219,OFFICE117&&9603309000,0,0
6220,OFFICE298&&3901209000,0,0
6221,OFFICE134&&8480410000,0,0
6222,OFFICE289&&4107129190,0,2
6223,OFFICE252&&7318157050,0,2
6224,OFFICE279&&6217900003,0,0
6225,OFFICE298&&6202920009,0,0
6226,OFFICE210&&7326909889,0,0
6227,OFFICE162&&2309909600,0,0
6228,OFFICE117&&210209000,0,2
6229,OFFICE100&&8413308099,0,2
6230,OFFICE287&&4104495900,0,0
6231,OFFICE174&&8538909902,0,0
6232,OFFICE134&&8421290099,0,0
6233,OFFICE134&&8211910099,0,0
6234,OFFICE233&&8716400009,0,0
6235,OFFICE122&&8708802001,0,0
6236,OFFICE187&&3923509001,0,0
6237,OFFICE152&&8708939009,0,0
6238,OFFICE298&&8443321020,0,2
6239,OFFICE279&&4821909000,0,0
6240,OFFICE168&&8425420090,0,0
6241,OFFICE141&&4421909799,0,2
6242,OFFICE298&&8708939002,0,2
6243,OFFICE140&&8703329091,0,0
6244,OFFICE141&&6117100010,1,2
6245,OFFICE185&&6302999009,0,0
6246,OFFICE298&&4015190009,0,0
6247,OFFICE127&&9403301109,0,0
6248,OFFICE168&&8703339093,0,0
6249,OFFICE168&&2203000901,0,0
6250,OFFICE237&&7223009900,0,0
6251,OFFICE237&&8504408200,0,2
6252,OFFICE292&&9004901039,0,0
6253,OFFICE162&&6406201000,0,0
6254,OFFICE296&&2909309000,0,0
6255,OFFICE296&&9032102000,0,0
6256,OFFICE298&&3004200010,0,0
6257,OFFICE101&&8302411003,0,0
6258,OFFICE180&&4016930000,0,0
6259,OFFICE168&&8483608009,0,0
6260,OFFICE197&&8536901020,0,2
6261,OFFICE127&&5209320000,0,0
6262,OFFICE186&&2711190092,0,0
6263,OFFICE299&&8481309100,0,0
6264,OFFICE211&&7407290009,0,2
6265,OFFICE100&&8511400009,0,0
6266,OFFICE162&&9031803400,0,2
6267,OFFICE100&&4415202001,0,0
6268,OFFICE279&&9801000000,0,0
6269,OFFICE127&&3824909699,0,0
6270,OFFICE162&&4415202001,0,2
6271,OFFICE23&&7415330000,0,2
6272,OFFICE59&&8478900000,0,2
6273,OFFICE60&&6510000000,0,0
6274,OFFICE81&&8432800000,0,0
6275,OFFICE94&&8803300000,0,0
6276,OFFICE24&&1905900000,0,0
6277,OFFICE51&&305590059,0,0
6278,OFFICE45&&1509100019,0,0
6279,OFFICE96&&2401200000,0,0
6280,OFFICE60&&3920200021,0,0
6281,OFFICE24&&4411920000,0,0
6282,OFFICE18&&8703232926,0,0
6283,OFFICE40&&2905450000,0,0
6284,OFFICE59&&3915300000,0,2
6285,OFFICE96&&7901120000,0,0
6286,OFFICE51&&4911991000,0,0
6287,OFFICE59&&8505110000,0,2
6288,OFFICE81&&7309009000,0,0
6289,OFFICE92&&8705900000,0,0
6290,OFFICE81&&8716400000,0,0
6291,OFFICE76&&6310900091,0,2
6292,OFFICE35&&7901120000,0,0
6293,OFFICE45&&3909500000,0,0
6294,OFFICE51&&4810130019,0,0
6295,OFFICE40&&3917221000,0,0
6296,OFFICE87&&2208600000,0,0
6297,OFFICE88&&4202199018,0,0
6298,OFFICE66&&6001220000,0,0
6299,OFFICE23&&8477900000,0,2
6300,OFFICE35&&9007190000,0,2
6301,OFFICE81&&8473300000,0,2
6302,OFFICE45&&3907400000,0,2
6303,OFFICE92&&8421210023,0,0
6304,OFFICE51&&4013900000,0,0
6305,OFFICE60&&3820000000,1,2
6306,OFFICE60&&8424900000,0,0
6307,OFFICE76&&7210900000,0,0
6308,OFFICE94&&8458110000,0,0
6309,OFFICE23&&8504310000,0,2
6310,OFFICE298&&8708999794,0,0
6311,OFFICE298&&4901990095,0,0
6312,OFFICE134&&9404299000,0,0
6313,OFFICE185&&8536700010,0,0
6314,OFFICE204&&4010190008,0,0
6315,OFFICE186&&4911990099,0,0
6316,OFFICE162&&7010905301,0,0
6317,OFFICE168&&4009420010,0,2
6318,OFFICE168&&7604210000,0,2
6319,OFFICE187&&7318210000,0,0
6320,OFFICE204&&8708931000,0,2
6321,OFFICE180&&8716800009,0,0
6322,OFFICE243&&8473308000,0,0
6323,OFFICE186&&7212408010,0,2
6324,OFFICE196&&4016920000,0,2
6325,OFFICE127&&6204623909,0,0
6326,OFFICE197&&8544300090,0,2
6327,OFFICE234&&1904201000,0,0
6328,OFFICE168&&8482109000,0,0
6329,OFFICE187&&8708309909,0,2
6330,OFFICE214&&8452900009,0,0
6331,OFFICE237&&3904220009,0,0
6332,OFFICE168&&8535900099,0,2
6333,OFFICE109&&8716400009,0,0
6334,OFFICE134&&4016999720,0,0
6335,OFFICE296&&8708939002,0,0
6336,OFFICE109&&8209008009,0,0
6337,OFFICE109&&8483308009,0,0
6338,OFFICE134&&6309000002,0,0
6339,OFFICE180&&8473502000,0,0
6340,OFFICE237&&8536490090,0,0
6341,OFFICE180&&8481309909,0,0
6342,OFFICE187&&8482101000,0,0
6343,OFFICE113&&3006400001,0,0
6344,OFFICE204&&2309909600,0,2
6345,OFFICE187&&901210002,0,0
6346,OFFICE298&&3815909000,0,2
6347,OFFICE210&&7318220000,0,0
6348,OFFICE279&&3215900094,0,0
6349,OFFICE100&&8483308009,0,2
6350,OFFICE214&&7018101100,0,0
6351,OFFICE113&&9606100010,0,0
6352,OFFICE237&&8408902790,0,2
6353,OFFICE204&&8703239091,0,0
6354,OFFICE197&&7314120000,0,2
6355,OFFICE197&&7320208110,0,0
6356,OFFICE214&&8705908099,0,0
6357,OFFICE214&&8421392000,0,0
6358,OFFICE196&&9405403110,0,2
6359,OFFICE134&&9032102000,0,2
6360,OFFICE134&&7307921000,0,0
6361,OFFICE174&&4821101000,0,0
6362,OFFICE298&&7208380000,0,0
6363,OFFICE298&&8409990005,0,0
6364,OFFICE174&&2915390099,0,2
6365,OFFICE185&&9032102000,0,0
6366,OFFICE214&&4819600000,0,0
6367,OFFICE299&&8451300000,0,2
6368,OFFICE132&&8467298000,0,0
6369,OFFICE168&&8482800000,0,0
6370,OFFICE60&&2909500000,0,2
6371,OFFICE51&&9405100000,1,2
6372,OFFICE45&&2204210000,0,0
6373,OFFICE96&&2915320000,0,2
6374,OFFICE34&&5007200000,0,0
6375,OFFICE51&&8416900000,0,0
6376,OFFICE94&&8431410000,0,0
6377,OFFICE40&&8461400000,0,0
6378,OFFICE51&&7016100000,0,0
6379,OFFICE76&&8480500000,0,0
6380,OFFICE34&&8907100000,0,0
6381,OFFICE35&&8504220000,0,0
6382,OFFICE94&&8308100000,0,0
6383,OFFICE59&&9019100011,0,0
6384,OFFICE51&&8432210000,0,0
6385,OFFICE40&&8716310000,0,0
6386,OFFICE81&&2302100000,0,0
6387,OFFICE35&&8703232225,1,2
6388,OFFICE51&&1604139000,0,0
6389,OFFICE92&&7610900000,0,0
6390,OFFICE34&&3808920000,0,0
6391,OFFICE16&&2903490000,0,0
6392,OFFICE24&&9021210000,1,2
6393,OFFICE59&&7225990000,0,0
6394,OFFICE60&&2710193900,0,0
6395,OFFICE40&&7005290000,0,0
6396,OFFICE59&&2915320000,1,2
6397,OFFICE84&&402101000,0,0
6398,OFFICE35&&8487100000,0,0
6399,OFFICE59&&7216310000,0,2
6400,OFFICE78&&8421210023,0,2
6401,OFFICE16&&8415830000,0,2
6402,OFFICE76&&3926909099,0,2
6403,OFFICE60&&6117800000,0,0
6404,OFFICE88&&8529100000,0,2
6405,OFFICE51&&7010000000,0,0
6406,OFFICE45&&8541100000,0,0
6407,OFFICE76&&8528721900,0,0
6408,OFFICE60&&3824909000,0,0
6409,OFFICE40&&4010190000,0,2
6410,OFFICE78&&2915290000,0,2
6411,OFFICE81&&3921130000,0,2
6412,OFFICE35&&2918190000,0,0
6413,OFFICE60&&8703241126,0,2
6414,OFFICE185&&3808926099,0,0
6415,OFFICE296&&5515191000,0,0
6416,OFFICE100&&8507600000,0,0
6417,OFFICE185&&3901209000,0,0
6418,OFFICE204&&9403909000,0,0
6419,OFFICE113&&5911901099,0,0
6420,OFFICE127&&7307199000,0,0
6421,OFFICE186&&3812100000,0,0
6422,OFFICE243&&6212109097,0,0
6423,OFFICE298&&8432900091,0,2
6424,OFFICE185&&4009420090,0,0
6425,OFFICE187&&8501109100,0,0
6426,OFFICE162&&3922200000,0,0
6427,OFFICE180&&8704109090,0,0
6428,OFFICE127&&7506200000,0,2
6429,OFFICE296&&8704219969,0,0
6430,OFFICE204&&8714101000,0,0
6431,OFFICE187&&8443321090,0,0
6432,OFFICE132&&5209520000,0,0
6433,OFFICE141&&7202118000,0,0
6434,OFFICE109&&4203300090,0,2
6435,OFFICE246&&5907000090,0,2
6436,OFFICE113&&4806100000,0,0
6437,OFFICE134&&9025808090,0,0
6438,OFFICE132&&8716398090,0,0
6439,OFFICE185&&9025198010,0,0
6440,OFFICE186&&8533409009,0,0
6441,OFFICE288&&8516900090,0,0
6442,OFFICE187&&8205598005,0,0
6443,OFFICE168&&3917290000,0,0
6444,OFFICE113&&7406200001,0,0
6445,OFFICE204&&8443999040,0,0
6446,OFFICE222&&3824906500,0,0
6447,OFFICE298&&8409990002,0,0
6448,OFFICE296&&6203499099,0,0
6449,OFFICE187&&8483405990,0,0
6450,OFFICE126&&5516110000,0,0
6451,OFFICE296&&8205700000,0,2
6452,OFFICE220&&2710124591,0,0
6453,OFFICE297&&9402100090,0,0
6454,OFFICE214&&7404001000,0,0
6455,OFFICE127&&8413820090,0,0
6456,OFFICE296&&3206110000,0,2
6457,OFFICE127&&8708949900,0,0
6458,OFFICE197&&3701990002,0,0
6459,OFFICE237&&2710194890,0,0
6460,OFFICE298&&5903209000,1,2
6461,OFFICE185&&6201190098,0,2
6462,OFFICE204&&4805300000,0,0
6463,OFFICE136&&1702305010,0,0
6464,OFFICE237&&4203100099,0,0
6465,OFFICE168&&2804400000,0,0
6466,OFFICE237&&5605000009,0,2
6467,OFFICE127&&2833298009,0,0
6468,OFFICE127&&8419310000,0,0
6469,OFFICE187&&9603909999,0,0
6470,OFFICE220&&3925902000,0,0
6471,OFFICE141&&4415209000,0,0
6472,OFFICE204&&2710199928,0,0
6473,OFFICE100&&2915907009,0,0
6474,OFFICE94&&8471600069,0,0
6475,OFFICE60&&3911900000,0,2
6476,OFFICE45&&3926909091,0,0
6477,OFFICE23&&3610000000,0,0
6478,OFFICE23&&8536700000,0,2
6479,OFFICE60&&7307930000,0,0
6480,OFFICE40&&3204190000,0,2
6481,OFFICE76&&4700000000,0,0
6482,OFFICE40&&6908900000,0,2
6483,OFFICE76&&8437800000,0,0
6484,OFFICE92&&8480790000,0,0
6485,OFFICE34&&6908900000,0,0
6486,OFFICE60&&4601991000,0,2
6487,OFFICE18&&8453900000,0,0
6488,OFFICE87&&4814900000,0,0
6489,OFFICE96&&8517180000,1,2
6490,OFFICE51&&2933490000,0,0
6491,OFFICE59&&3506910000,0,0
6492,OFFICE96&&4804390000,0,0
6493,OFFICE92&&2101110019,0,0
6494,OFFICE60&&5401100000,0,0
6495,OFFICE60&&305510052,0,0
6496,OFFICE60&&2842100000,0,0
6497,OFFICE16&&8703241126,0,0
6498,OFFICE51&&8716399000,0,0
6499,OFFICE16&&9405500000,0,0
6500,OFFICE59&&8423820000,1,2
6501,OFFICE76&&8544110000,1,2
6502,OFFICE59&&9029200000,0,0
6503,OFFICE96&&4800000000,0,2
6504,OFFICE35&&8703231221,0,0
6505,OFFICE60&&8504400000,0,0
6506,OFFICE81&&7407290000,0,0
6507,OFFICE60&&8423810000,0,2
6508,OFFICE88&&5804290000,0,2
6509,OFFICE40&&8301100000,1,2
6510,OFFICE59&&2906110000,0,2
6511,OFFICE24&&3920430043,0,2
6512,OFFICE94&&8424200000,0,2
6513,OFFICE81&&8518400000,0,0
6514,OFFICE76&&4008211000,0,0
6515,OFFICE35&&8703331928,0,0
6516,OFFICE92&&8443390000,0,0
6517,OFFICE76&&3912390000,0,0
6518,OFFICE41&&2815120000,0,0
6519,OFFICE45&&3701300000,0,0
6520,OFFICE59&&9500000000,0,0
6521,OFFICE23&&6402990099,0,0
6522,OFFICE87&&8703900000,0,2
6523,OFFICE92&&9202900000,0,2
6524,OFFICE35&&8703242900,0,0
6525,OFFICE52&&8516100000,0,0
6526,OFFICE51&&8412800000,0,2
6527,OFFICE92&&8421990000,0,2
6528,OFFICE51&&7216500000,0,0
6529,OFFICE96&&3901200000,0,2
6530,OFFICE24&&8423820000,0,0
6531,OFFICE59&&1207209000,0,0
6532,OFFICE92&&8413300000,0,2
6533,OFFICE35&&2827200000,0,2
6534,OFFICE51&&8450200000,1,2
6535,OFFICE127&&9032108900,0,0
6536,OFFICE243&&8703329091,0,0
6537,OFFICE100&&8536501996,0,0
6538,OFFICE132&&7325100000,0,2
6539,OFFICE299&&8205598009,0,0
6540,OFFICE296&&8703321965,0,0
6541,OFFICE132&&9032102000,0,0
6542,OFFICE279&&8003000010,0,0
6543,OFFICE178&&8471705000,0,0
6544,OFFICE113&&2710124591,0,2
6545,OFFICE127&&8467298000,0,0
6546,OFFICE111&&8529909221,0,0
6547,OFFICE185&&7307929000,0,0
6548,OFFICE136&&4821909000,0,0
6549,OFFICE162&&6203439009,0,0
6550,OFFICE297&&5205260001,0,0
6551,OFFICE141&&9102110000,0,0
6552,OFFICE100&&3921903000,0,0
6553,OFFICE204&&4011610002,0,0
6554,OFFICE109&&3920208001,0,2
6555,OFFICE185&&3204120000,0,0
6556,OFFICE296&&8536301000,0,0
6557,OFFICE168&&4820109000,0,0
6558,OFFICE187&&7019120000,0,0
6559,OFFICE127&&3916909009,0,0
6560,OFFICE214&&2005208001,0,0
6561,OFFICE109&&1602209000,0,0
6562,OFFICE100&&5208310000,0,0
6563,OFFICE113&&8511800001,0,0
6564,OFFICE140&&6004100000,0,2
6565,OFFICE296&&9615190009,0,0
6566,OFFICE168&&8803300001,0,2
6567,OFFICE204&&8703221091,0,2
6568,OFFICE252&&8609009090,0,0
6569,OFFICE237&&6109902006,0,0
6570,OFFICE109&&6217100009,0,0
6571,OFFICE204&&8484900090,0,0
6572,OFFICE105&&3919101200,0,2
6573,OFFICE105&&6804100090,0,0
6574,OFFICE185&&8452290001,0,0
6575,OFFICE214&&9606220000,0,2
6576,OFFICE296&&6116102000,0,0
6577,OFFICE296&&8708309103,0,2
6578,OFFICE100&&3919101900,1,2
6579,OFFICE127&&9403109809,0,0
6580,OFFICE187&&8714104000,0,2
6581,OFFICE220&&8511500008,0,2
6582,OFFICE187&&7308300000,0,2
6583,OFFICE197&&6109902008,0,0
6584,OFFICE127&&3920999000,0,0
6585,OFFICE180&&1206009900,0,0
6586,OFFICE168&&4811419010,0,0
6587,OFFICE296&&8483303800,0,0
6588,OFFICE185&&7318220000,0,0
6589,OFFICE168&&8536700090,0,0
6590,OFFICE204&&8536508096,0,0
6591,OFFICE204&&8473308000,0,0
6592,OFFICE100&&7217203090,0,0
6593,OFFICE100&&7326909449,0,2
6594,OFFICE237&&4114101000,0,0
6595,OFFICE214&&2402100005,0,0
6596,OFFICE197&&5205230009,0,0
6597,OFFICE123&&8543709099,0,0
6598,OFFICE127&&8538909109,0,0
6599,OFFICE214&&7318290009,0,0
6600,OFFICE298&&7318290009,0,0
6601,OFFICE122&&6103420003,0,0
6602,OFFICE35&&5407910000,0,0
6603,OFFICE40&&8431430000,0,0
6604,OFFICE52&&7604210000,0,2
6605,OFFICE51&&1104120000,0,2
6606,OFFICE23&&3916100000,0,0
6607,OFFICE92&&3815900000,0,2
6608,OFFICE52&&8411820000,0,0
6609,OFFICE87&&8423900000,0,0
6610,OFFICE51&&6704190000,0,0
6611,OFFICE51&&8541600000,0,0
6612,OFFICE84&&6804100000,0,0
6613,OFFICE59&&8429200000,0,2
6614,OFFICE76&&7308201000,0,2
6615,OFFICE60&&8419810000,0,0
6616,OFFICE45&&8701900092,0,0
6617,OFFICE51&&7307290029,0,0
6618,OFFICE60&&1601009000,0,2
6619,OFFICE96&&8703332200,0,0
6620,OFFICE59&&6802100000,0,0
6621,OFFICE96&&2002902000,0,0
6622,OFFICE92&&2902300000,0,2
6623,OFFICE59&&6406200000,0,0
6624,OFFICE94&&8702902099,0,0
6625,OFFICE16&&7010902122,0,0
6626,OFFICE40&&710100000,0,0
6627,OFFICE51&&6704200000,0,0
6628,OFFICE51&&8429190000,0,2
6629,OFFICE40&&8480410000,0,0
6630,OFFICE24&&6209300000,0,0
6631,OFFICE35&&3902100000,0,2
6632,OFFICE35&&3204130000,0,0
6633,OFFICE59&&9015900000,0,2
6634,OFFICE78&&4002110000,0,0
6635,OFFICE186&&7302900040,0,2
6636,OFFICE122&&5806200000,0,0
6637,OFFICE122&&8536901020,0,0
6638,OFFICE204&&8471705000,0,0
6639,OFFICE101&&4819100000,0,0
6640,OFFICE152&&8462918009,0,0
6641,OFFICE152&&9608109990,0,0
6642,OFFICE113&&6205200009,0,0
6643,OFFICE109&&7616991099,0,0
6644,OFFICE132&&5208321600,0,0
6645,OFFICE234&&6005909090,0,0
6646,OFFICE113&&8205598009,0,0
6647,OFFICE243&&8408209909,0,2
6648,OFFICE122&&7616999099,0,0
6649,OFFICE100&&8483405990,0,0
6650,OFFICE122&&4808400000,0,0
6651,OFFICE210&&8547200000,0,0
6652,OFFICE117&&5209520000,0,2
6653,OFFICE127&&8536901093,0,0
6654,OFFICE168&&6305321900,0,0
6655,OFFICE168&&5806390090,0,0
6656,OFFICE187&&3922900009,0,0
6657,OFFICE162&&3404900009,0,0
6658,OFFICE187&&7321119099,0,0
6659,OFFICE214&&5209210000,0,0
6660,OFFICE296&&3814009001,0,0
6661,OFFICE168&&3926200090,0,2
6662,OFFICE162&&8407343009,0,0
6663,OFFICE168&&8504318090,0,0
6664,OFFICE292&&9018120000,0,0
6665,OFFICE237&&6204339009,0,0
6666,OFFICE122&&8703229050,0,0
6667,OFFICE296&&7213914900,0,0
6668,OFFICE132&&4107919099,0,0
6669,OFFICE204&&8445120000,0,0
6670,OFFICE187&&4407109800,0,0
6671,OFFICE162&&8708299002,0,0
6672,OFFICE132&&9403309109,0,2
6673,OFFICE168&&2208308201,0,0
6674,OFFICE296&&3924900008,0,0
6675,OFFICE204&&8534009000,0,0
6676,OFFICE127&&8309909099,0,0
6677,OFFICE298&&8467990010,0,0
6678,OFFICE204&&6107210001,0,0
6679,OFFICE168&&7404001000,0,2
6680,OFFICE214&&8518109500,0,0
6681,OFFICE210&&6309000002,0,0
6682,OFFICE237&&4417000091,0,0
6683,OFFICE141&&7408110010,0,0
6684,OFFICE136&&4107199099,0,0
6685,OFFICE105&&8487909009,0,0
6686,OFFICE100&&9607190000,0,2
6687,OFFICE186&&4820900000,0,0
6688,OFFICE109&&8536901020,0,0
6689,OFFICE214&&6217900009,0,0
6690,OFFICE168&&4202321009,0,0
6691,OFFICE174&&3701300009,0,0
6692,OFFICE220&&4005910000,0,0
6693,OFFICE237&&8423829009,0,0
6694,OFFICE186&&5807101010,0,0
6695,OFFICE162&&8421230000,0,0
6696,OFFICE186&&8703339092,0,0
6697,OFFICE214&&8803300001,0,0
6698,OFFICE126&&6217900009,0,0
6699,OFFICE122&&8538909909,0,0
6700,OFFICE113&&8479908000,0,0
6701,OFFICE214&&9018908439,0,0
6702,OFFICE187&&3824909699,0,0
6703,OFFICE237&&8532220000,0,0
6704,OFFICE168&&8480790000,0,2
6705,OFFICE180&&3003900019,0,0
6706,OFFICE101&&8708939009,0,0
6707,OFFICE233&&2001909799,0,0
6708,OFFICE92&&5204190000,0,0
6709,OFFICE59&&4813900000,0,0
6710,OFFICE40&&7307111000,0,0
6711,OFFICE60&&8467290000,0,0
6712,OFFICE88&&8541600000,0,0
6713,OFFICE24&&3926909099,0,2
6714,OFFICE35&&5801100000,0,0
6715,OFFICE40&&6310100011,0,0
6716,OFFICE51&&4009210000,0,0
6717,OFFICE92&&3202100000,0,0
6718,OFFICE52&&8536690000,0,0
