,OFFICE&&ORIGIN.CODE,OFFICE&&ORIGIN.CODE_illicit_Qsum,OFFICE&&ORIGIN.CODE_illicit_Qrate
1662,OFFICE96&&CNTRY959,0,3
1663,OFFICE24&&CNTRY976,0,3
1664,OFFICE52&&CNTRY656,0,3
1665,OFFICE92&&CNTRY618,0,3
1666,OFFICE243&&CNTRY123,0,3
1667,OFFICE100&&CNTRY920,0,3
1668,OFFICE185&&CNTRY689,0,3
1669,OFFICE204&&CNTRY785,0,0
1670,OFFICE204&&CNTRY184,0,3
1671,OFFICE162&&CNTRY276,0,0
1672,OFFICE117&&CNTRY334,0,3
1673,OFFICE113&&CNTRY317,0,3
1674,OFFICE234&&CNTRY379,0,0
1675,OFFICE168&&CNTRY252,0,0
1676,OFFICE162&&CNTRY322,0,0
1677,OFFICE141&&CNTRY959,0,3
1678,OFFICE127&&CNTRY770,0,3
1679,OFFICE117&&CNTRY825,0,0
1680,OFFICE252&&CNTRY335,0,3
1681,OFFICE100&&CNTRY554,0,3
1682,OFFICE132&&CNTRY409,0,3
1683,OFFICE187&&CNTRY859,0,3
1684,OFFICE134&&CNTRY429,0,0
1685,OFFICE152&&CNTRY456,0,0
1686,OFFICE168&&CNTRY713,0,0
1687,OFFICE222&&CNTRY351,0,3
1688,OFFICE214&&CNTRY713,0,0
1689,OFFICE197&&CNTRY264,0,0
1690,OFFICE127&&CNTRY125,0,3
1691,OFFICE141&&CNTRY527,0,3
1692,OFFICE92&&CNTRY311,0,3
1693,OFFICE84&&CNTRY438,0,3
1694,OFFICE51&&CNTRY276,0,3
1695,OFFICE18&&CNTRY915,0,0
1696,OFFICE24&&CNTRY709,0,3
1697,OFFICE45&&CNTRY756,0,3
1698,OFFICE59&&CNTRY133,0,0
1699,OFFICE51&&CNTRY480,1,3
1700,OFFICE88&&CNTRY919,0,0
1701,OFFICE87&&CNTRY263,0,3
1702,OFFICE35&&CNTRY615,0,3
1703,OFFICE88&&CNTRY262,0,0
1704,OFFICE23&&CNTRY756,0,3
1705,OFFICE45&&CNTRY975,0,3
1706,OFFICE59&&CNTRY528,0,3
1707,OFFICE59&&CNTRY837,0,3
1708,OFFICE81&&CNTRY429,0,0
1709,OFFICE34&&CNTRY659,0,3
1710,OFFICE87&&CNTRY884,0,3
1711,OFFICE96&&CNTRY277,0,3
1712,OFFICE66&&CNTRY622,0,0
1713,OFFICE113&&CNTRY846,0,2
1714,OFFICE246&&CNTRY866,0,0
1715,OFFICE298&&CNTRY407,0,0
1716,OFFICE196&&CNTRY562,0,3
1717,OFFICE296&&CNTRY830,0,3
1718,OFFICE298&&CNTRY656,0,0
1719,OFFICE134&&CNTRY527,0,3
1720,OFFICE140&&CNTRY795,0,0
1721,OFFICE210&&CNTRY284,0,3
1722,OFFICE168&&CNTRY140,0,3
1723,OFFICE204&&CNTRY915,0,3
1724,OFFICE185&&CNTRY674,0,3
1725,OFFICE178&&CNTRY716,0,3
1726,OFFICE288&&CNTRY334,0,0
1727,OFFICE223&&CNTRY846,0,3
1728,OFFICE134&&CNTRY713,0,3
1729,OFFICE168&&CNTRY748,0,3
1730,OFFICE174&&CNTRY576,0,3
1731,OFFICE16&&CNTRY316,0,3
1732,OFFICE66&&CNTRY884,0,3
1733,OFFICE18&&CNTRY133,0,3
1734,OFFICE23&&CNTRY343,0,3
1735,OFFICE35&&CNTRY994,1,3
1736,OFFICE23&&CNTRY316,0,3
1737,OFFICE94&&CNTRY759,0,2
1738,OFFICE34&&CNTRY618,0,3
1739,OFFICE24&&CNTRY264,0,3
1740,OFFICE51&&CNTRY407,1,3
1741,OFFICE94&&CNTRY874,0,0
1742,OFFICE51&&CNTRY171,0,3
1743,OFFICE24&&CNTRY939,0,3
1744,OFFICE24&&CNTRY262,0,3
1745,OFFICE40&&CNTRY264,0,3
1746,OFFICE96&&CNTRY351,0,0
1747,OFFICE59&&CNTRY252,0,3
1748,OFFICE81&&CNTRY277,1,3
1749,OFFICE222&&CNTRY555,0,3
1750,OFFICE289&&CNTRY284,0,0
1751,OFFICE204&&CNTRY975,0,3
1752,OFFICE204&&CNTRY321,0,3
1753,OFFICE279&&CNTRY680,0,3
1754,OFFICE141&&CNTRY215,0,3
1755,OFFICE296&&CNTRY644,0,0
1756,OFFICE243&&CNTRY376,0,3
1757,OFFICE113&&CNTRY653,0,0
1758,OFFICE187&&CNTRY554,0,3
1759,OFFICE211&&CNTRY866,0,3
1760,OFFICE186&&CNTRY764,0,3
1761,OFFICE288&&CNTRY959,0,0
1762,OFFICE134&&CNTRY771,0,0
1763,OFFICE127&&CNTRY216,0,3
1764,OFFICE292&&CNTRY866,0,3
1765,OFFICE297&&CNTRY576,0,3
1766,OFFICE196&&CNTRY625,0,3
1767,OFFICE243&&CNTRY236,0,3
1768,OFFICE222&&CNTRY674,0,3
1769,OFFICE109&&CNTRY748,0,3
1770,OFFICE141&&CNTRY884,0,3
1771,OFFICE299&&CNTRY785,0,3
1772,OFFICE197&&CNTRY615,0,3
1773,OFFICE152&&CNTRY837,0,3
1774,OFFICE105&&CNTRY917,0,3
1775,OFFICE109&&CNTRY277,0,3
1776,OFFICE136&&CNTRY825,0,2
1777,OFFICE59&&CNTRY334,0,3
1778,OFFICE45&&CNTRY277,1,3
1779,OFFICE96&&CNTRY438,0,3
1780,OFFICE88&&CNTRY713,0,3
1781,OFFICE96&&CNTRY830,0,3
1782,OFFICE51&&CNTRY659,0,3
1783,OFFICE52&&CNTRY765,0,0
1784,OFFICE87&&CNTRY920,0,0
1785,OFFICE41&&CNTRY881,0,3
1786,OFFICE52&&CNTRY881,0,3
1787,OFFICE16&&CNTRY863,0,3
1788,OFFICE92&&CNTRY837,0,3
1789,OFFICE76&&CNTRY409,1,3
1790,OFFICE24&&CNTRY379,0,3
1791,OFFICE51&&CNTRY527,0,3
1792,OFFICE59&&CNTRY644,1,3
1793,OFFICE214&&CNTRY759,0,3
1794,OFFICE132&&CNTRY555,0,3
1795,OFFICE127&&CNTRY576,0,3
1796,OFFICE211&&CNTRY390,0,3
1797,OFFICE109&&CNTRY438,0,3
1798,OFFICE186&&CNTRY654,0,0
1799,OFFICE299&&CNTRY351,0,3
1800,OFFICE299&&CNTRY980,0,0
1801,OFFICE168&&CNTRY771,0,3
1802,OFFICE127&&CNTRY485,0,3
1803,OFFICE196&&CNTRY980,0,3
1804,OFFICE220&&CNTRY846,0,3
1805,OFFICE111&&CNTRY554,0,3
1806,OFFICE187&&CNTRY962,0,3
1807,OFFICE101&&CNTRY652,0,3
1808,OFFICE204&&CNTRY830,0,0
1809,OFFICE152&&CNTRY975,0,3
1810,OFFICE287&&CNTRY709,0,3
1811,OFFICE287&&CNTRY485,0,3
1812,OFFICE223&&CNTRY409,0,0
1813,OFFICE220&&CNTRY701,0,3
1814,OFFICE292&&CNTRY236,0,0
1815,OFFICE40&&CNTRY234,0,3
1816,OFFICE16&&CNTRY429,0,0
1817,OFFICE52&&CNTRY252,0,3
1818,OFFICE92&&CNTRY389,0,3
1819,OFFICE92&&CNTRY264,1,3
1820,OFFICE96&&CNTRY976,0,3
1821,OFFICE59&&CNTRY919,0,3
1822,OFFICE35&&CNTRY263,0,3
1823,OFFICE84&&CNTRY385,0,0
1824,OFFICE84&&CNTRY139,0,3
1825,OFFICE94&&CNTRY747,0,3
1826,OFFICE92&&CNTRY527,1,3
1827,OFFICE40&&CNTRY349,0,3
1828,OFFICE24&&CNTRY785,0,3
1829,OFFICE34&&CNTRY759,0,3
1830,OFFICE298&&CNTRY764,0,3
1831,OFFICE186&&CNTRY771,0,3
1832,OFFICE122&&CNTRY976,0,3
1833,OFFICE109&&CNTRY139,0,0
1834,OFFICE100&&CNTRY558,0,3
1835,OFFICE178&&CNTRY485,0,3
1836,OFFICE134&&CNTRY930,0,3
1837,OFFICE141&&CNTRY866,0,3
1838,OFFICE237&&CNTRY480,0,3
1839,OFFICE127&&CNTRY322,0,3
1840,OFFICE214&&CNTRY618,0,3
1841,OFFICE105&&CNTRY376,0,0
1842,OFFICE180&&CNTRY153,0,3
1843,OFFICE252&&CNTRY215,0,0
1844,OFFICE127&&CNTRY837,0,3
1845,OFFICE185&&CNTRY528,0,3
1846,OFFICE243&&CNTRY920,0,3
1847,OFFICE111&&CNTRY765,0,3
1848,OFFICE237&&CNTRY456,0,3
1849,OFFICE279&&CNTRY171,0,0
1850,OFFICE100&&CNTRY166,0,3
1851,OFFICE299&&CNTRY234,0,3
1852,OFFICE187&&CNTRY322,0,3
1853,OFFICE109&&CNTRY881,0,3
1854,OFFICE187&&CNTRY674,0,3
1855,OFFICE162&&CNTRY615,0,2
1856,OFFICE122&&CNTRY323,0,3
1857,OFFICE299&&CNTRY995,0,0
1858,OFFICE296&&CNTRY562,0,2
1859,OFFICE237&&CNTRY687,0,0
1860,OFFICE204&&CNTRY748,0,0
1861,OFFICE186&&CNTRY276,0,3
1862,OFFICE243&&CNTRY284,0,0
1863,OFFICE168&&CNTRY335,0,3
1864,OFFICE100&&CNTRY555,0,3
1865,OFFICE109&&CNTRY393,0,3
1866,OFFICE40&&CNTRY771,0,3
1867,OFFICE76&&CNTRY709,1,3
1868,OFFICE84&&CNTRY284,0,3
1869,OFFICE24&&CNTRY415,0,3
1870,OFFICE51&&CNTRY113,0,3
1871,OFFICE76&&CNTRY995,0,3
1872,OFFICE94&&CNTRY322,0,3
1873,OFFICE59&&CNTRY770,1,3
1874,OFFICE76&&CNTRY264,1,3
1875,OFFICE66&&CNTRY376,0,0
1876,OFFICE45&&CNTRY278,0,0
1877,OFFICE24&&CNTRY263,0,3
1878,OFFICE84&&CNTRY321,0,3
1879,OFFICE16&&CNTRY168,0,3
1880,OFFICE84&&CNTRY125,0,3
1881,OFFICE59&&CNTRY976,0,3
1882,OFFICE52&&CNTRY652,0,3
1883,OFFICE76&&CNTRY930,0,3
1884,OFFICE96&&CNTRY349,1,3
1885,OFFICE35&&CNTRY454,0,3
1886,OFFICE100&&CNTRY125,0,3
1887,OFFICE237&&CNTRY184,0,3
1888,OFFICE223&&CNTRY874,0,3
1889,OFFICE289&&CNTRY389,0,0
1890,OFFICE185&&CNTRY321,0,0
1891,OFFICE243&&CNTRY846,0,3
1892,OFFICE243&&CNTRY994,0,2
1893,OFFICE237&&CNTRY654,0,0
1894,OFFICE123&&CNTRY765,0,3
1895,OFFICE296&&CNTRY389,0,3
1896,OFFICE126&&CNTRY680,0,0
1897,OFFICE279&&CNTRY846,0,3
1898,OFFICE162&&CNTRY920,0,3
1899,OFFICE100&&CNTRY881,0,0
1900,OFFICE168&&CNTRY930,0,3
1901,OFFICE168&&CNTRY321,0,3
1902,OFFICE187&&CNTRY284,0,3
1903,OFFICE220&&CNTRY454,0,3
1904,OFFICE204&&CNTRY576,0,3
1905,OFFICE246&&CNTRY625,0,0
1906,OFFICE140&&CNTRY866,0,3
1907,OFFICE252&&CNTRY866,0,0
1908,OFFICE298&&CNTRY687,0,3
1909,OFFICE223&&CNTRY652,0,3
1910,OFFICE296&&CNTRY480,0,3
1911,OFFICE246&&CNTRY759,0,0
1912,OFFICE140&&CNTRY825,0,3
1913,OFFICE237&&CNTRY884,0,0
1914,OFFICE187&&CNTRY364,0,3
1915,OFFICE134&&CNTRY389,0,3
1916,OFFICE100&&CNTRY756,0,0
1917,OFFICE197&&CNTRY454,1,3
1918,OFFICE132&&CNTRY625,0,0
1919,OFFICE109&&CNTRY713,0,3
1920,OFFICE41&&CNTRY652,0,3
1921,OFFICE51&&CNTRY429,0,3
1922,OFFICE51&&CNTRY322,0,3
1923,OFFICE96&&CNTRY920,0,3
1924,OFFICE76&&CNTRY975,1,3
1925,OFFICE52&&CNTRY323,0,3
1926,OFFICE81&&CNTRY448,0,3
1927,OFFICE81&&CNTRY316,0,3
1928,OFFICE81&&CNTRY528,0,3
1929,OFFICE84&&CNTRY615,0,3
1930,OFFICE35&&CNTRY709,0,3
1931,OFFICE40&&CNTRY140,0,3
1932,OFFICE45&&CNTRY389,0,3
1933,OFFICE52&&CNTRY139,0,3
1934,OFFICE60&&CNTRY939,1,3
1935,OFFICE84&&CNTRY656,0,3
1936,OFFICE16&&CNTRY873,0,0
1937,OFFICE66&&CNTRY652,0,3
1938,OFFICE24&&CNTRY407,0,3
1939,OFFICE60&&CNTRY771,0,3
1940,OFFICE298&&CNTRY138,0,0
1941,OFFICE237&&CNTRY576,0,3
1942,OFFICE113&&CNTRY994,0,3
1943,OFFICE152&&CNTRY618,0,0
1944,OFFICE111&&CNTRY123,0,3
1945,OFFICE299&&CNTRY764,0,3
1946,OFFICE252&&CNTRY445,0,3
1947,OFFICE214&&CNTRY701,0,0
1948,OFFICE180&&CNTRY837,0,3
1949,OFFICE180&&CNTRY747,0,3
1950,OFFICE105&&CNTRY859,0,3
1951,OFFICE141&&CNTRY317,0,3
1952,OFFICE123&&CNTRY994,0,3
1953,OFFICE299&&CNTRY837,0,3
1954,OFFICE105&&CNTRY976,0,0
1955,OFFICE180&&CNTRY652,0,0
1956,OFFICE180&&CNTRY407,0,3
1957,OFFICE105&&CNTRY236,0,3
1958,OFFICE122&&CNTRY830,0,3
1959,OFFICE187&&CNTRY765,0,0
1960,OFFICE298&&CNTRY975,0,3
1961,OFFICE197&&CNTRY846,0,3
1962,OFFICE134&&CNTRY627,0,3
1963,OFFICE92&&CNTRY554,0,3
1964,OFFICE41&&CNTRY917,0,3
1965,OFFICE52&&CNTRY745,0,3
1966,OFFICE23&&CNTRY891,0,3
1967,OFFICE41&&CNTRY891,0,3
1968,OFFICE96&&CNTRY317,0,3
1969,OFFICE24&&CNTRY216,0,3
1970,OFFICE60&&CNTRY262,0,3
1971,OFFICE92&&CNTRY480,0,3
1972,OFFICE92&&CNTRY138,0,0
1973,OFFICE34&&CNTRY491,0,3
1974,OFFICE76&&CNTRY558,0,3
1975,OFFICE16&&CNTRY562,0,3
1976,OFFICE78&&CNTRY884,0,3
1977,OFFICE34&&CNTRY527,0,3
1978,OFFICE134&&CNTRY959,0,3
1979,OFFICE127&&CNTRY920,1,3
1980,OFFICE220&&CNTRY653,0,0
1981,OFFICE211&&CNTRY825,0,0
1982,OFFICE162&&CNTRY415,0,3
1983,OFFICE185&&CNTRY390,0,3
1984,OFFICE252&&CNTRY652,0,3
1985,OFFICE186&&CNTRY656,0,3
1986,OFFICE141&&CNTRY153,0,3
1987,OFFICE162&&CNTRY930,0,3
1988,OFFICE152&&CNTRY859,0,3
1989,OFFICE126&&CNTRY209,0,0
1990,OFFICE162&&CNTRY959,0,3
1991,OFFICE132&&CNTRY976,0,3
1992,OFFICE197&&CNTRY687,0,0
1993,OFFICE204&&CNTRY252,0,3
1994,OFFICE122&&CNTRY140,0,0
1995,OFFICE210&&CNTRY863,0,3
1996,OFFICE100&&CNTRY930,0,0
1997,OFFICE299&&CNTRY393,0,0
1998,OFFICE222&&CNTRY976,0,3
1999,OFFICE100&&CNTRY316,0,3
2000,OFFICE167&&CNTRY976,0,0
2001,OFFICE197&&CNTRY209,0,3
2002,OFFICE178&&CNTRY976,0,3
2003,OFFICE289&&CNTRY123,0,0
2004,OFFICE211&&CNTRY264,0,0
2005,OFFICE127&&CNTRY701,0,0
2006,OFFICE78&&CNTRY748,0,3
2007,OFFICE96&&CNTRY846,0,3
2008,OFFICE76&&CNTRY701,1,3
2009,OFFICE34&&CNTRY277,0,3
2010,OFFICE40&&CNTRY558,0,3
2011,OFFICE35&&CNTRY837,0,3
2012,OFFICE24&&CNTRY874,0,3
2013,OFFICE84&&CNTRY150,0,0
2014,OFFICE40&&CNTRY278,0,0
2015,OFFICE45&&CNTRY994,0,3
2016,OFFICE51&&CNTRY385,0,3
2017,OFFICE18&&CNTRY656,0,3
2018,OFFICE279&&CNTRY994,0,0
2019,OFFICE204&&CNTRY747,0,3
2020,OFFICE105&&CNTRY765,0,3
2021,OFFICE186&&CNTRY962,0,0
2022,OFFICE197&&CNTRY874,0,3
2023,OFFICE210&&CNTRY759,0,3
2024,OFFICE105&&CNTRY994,0,3
2025,OFFICE246&&CNTRY994,0,3
2026,OFFICE279&&CNTRY825,0,3
2027,OFFICE220&&CNTRY994,0,3
2028,OFFICE296&&CNTRY252,0,3
2029,OFFICE211&&CNTRY454,0,3
2030,OFFICE109&&CNTRY184,0,3
2031,OFFICE243&&CNTRY277,0,3
2032,OFFICE243&&CNTRY554,0,0
2033,OFFICE292&&CNTRY917,0,0
2034,OFFICE196&&CNTRY376,0,3
2035,OFFICE210&&CNTRY680,0,0
2036,OFFICE289&&CNTRY125,0,3
2037,OFFICE185&&CNTRY454,0,2
2038,OFFICE52&&CNTRY153,0,3
2039,OFFICE52&&CNTRY343,0,3
2040,OFFICE59&&CNTRY215,0,3
2041,OFFICE34&&CNTRY576,0,0
2042,OFFICE78&&CNTRY759,0,3
2043,OFFICE35&&CNTRY713,0,0
2044,OFFICE34&&CNTRY311,0,3
2045,OFFICE76&&CNTRY653,1,3
2046,OFFICE78&&CNTRY562,0,3
2047,OFFICE45&&CNTRY771,0,3
2048,OFFICE60&&CNTRY317,0,3
2049,OFFICE24&&CNTRY866,0,3
2050,OFFICE34&&CNTRY917,0,3
2051,OFFICE60&&CNTRY438,0,3
2052,OFFICE87&&CNTRY759,0,3
2053,OFFICE40&&CNTRY379,0,3
2054,OFFICE24&&CNTRY764,0,3
2055,OFFICE84&&CNTRY874,0,3
2056,OFFICE88&&CNTRY527,0,0
2057,OFFICE16&&CNTRY321,0,3
2058,OFFICE60&&CNTRY644,1,3
2059,OFFICE87&&CNTRY866,0,3
2060,OFFICE23&&CNTRY546,0,3
2061,OFFICE196&&CNTRY554,0,0
2062,OFFICE279&&CNTRY323,0,3
2063,OFFICE298&&CNTRY216,0,0
2064,OFFICE180&&CNTRY376,0,2
2065,OFFICE180&&CNTRY917,0,3
2066,OFFICE233&&CNTRY627,0,0
2067,OFFICE233&&CNTRY975,0,3
2068,OFFICE140&&CNTRY528,0,0
2069,OFFICE105&&CNTRY652,0,3
2070,OFFICE100&&CNTRY785,0,3
2071,OFFICE197&&CNTRY364,0,3
2072,OFFICE296&&CNTRY930,0,3
2073,OFFICE185&&CNTRY277,0,3
2074,OFFICE197&&CNTRY485,0,3
2075,OFFICE211&&CNTRY976,0,3
2076,OFFICE237&&CNTRY351,0,3
2077,OFFICE178&&CNTRY393,0,3
2078,OFFICE287&&CNTRY454,0,0
2079,OFFICE186&&CNTRY153,0,3
2080,OFFICE243&&CNTRY976,0,3
2081,OFFICE162&&CNTRY765,0,3
2082,OFFICE187&&CNTRY334,0,3
2083,OFFICE76&&CNTRY262,0,3
2084,OFFICE76&&CNTRY113,0,3
2085,OFFICE96&&CNTRY859,0,3
2086,OFFICE60&&CNTRY436,0,3
2087,OFFICE96&&CNTRY881,0,3
2088,OFFICE94&&CNTRY140,0,3
2089,OFFICE76&&CNTRY770,1,3
2090,OFFICE16&&CNTRY959,0,3
2091,OFFICE35&&CNTRY321,0,3
2092,OFFICE78&&CNTRY277,0,3
2093,OFFICE34&&CNTRY975,0,0
2094,OFFICE35&&CNTRY140,0,3
2095,OFFICE23&&CNTRY859,0,3
2096,OFFICE92&&CNTRY747,1,3
2097,OFFICE127&&CNTRY138,0,3
2098,OFFICE210&&CNTRY316,0,3
2099,OFFICE127&&CNTRY321,0,3
2100,OFFICE186&&CNTRY407,0,3
2101,OFFICE152&&CNTRY335,0,0
2102,OFFICE168&&CNTRY364,0,3
2103,OFFICE100&&CNTRY713,0,0
2104,OFFICE100&&CNTRY438,0,3
2105,OFFICE187&&CNTRY138,0,0
2106,OFFICE113&&CNTRY652,0,3
2107,OFFICE204&&CNTRY884,0,3
2108,OFFICE127&&CNTRY264,0,0
2109,OFFICE123&&CNTRY846,0,3
2110,OFFICE162&&CNTRY390,0,3
2111,OFFICE296&&CNTRY615,0,2
2112,OFFICE123&&CNTRY689,0,3
2113,OFFICE296&&CNTRY138,0,3
2114,OFFICE109&&CNTRY321,0,0
2115,OFFICE204&&CNTRY215,0,3
2116,OFFICE187&&CNTRY555,0,0
2117,OFFICE299&&CNTRY846,0,3
2118,OFFICE134&&CNTRY770,0,0
2119,OFFICE297&&CNTRY687,0,0
2120,OFFICE168&&CNTRY284,0,3
2121,OFFICE113&&CNTRY976,0,2
2122,OFFICE126&&CNTRY976,0,3
2123,OFFICE152&&CNTRY123,0,3
2124,OFFICE16&&CNTRY398,0,3
2125,OFFICE81&&CNTRY284,0,3
2126,OFFICE18&&CNTRY884,0,3
2127,OFFICE40&&CNTRY527,0,3
2128,OFFICE52&&CNTRY334,0,3
2129,OFFICE60&&CNTRY264,1,3
2130,OFFICE45&&CNTRY959,0,3
2131,OFFICE18&&CNTRY920,0,3
2132,OFFICE96&&CNTRY473,0,3
2133,OFFICE35&&CNTRY171,0,3
2134,OFFICE59&&CNTRY409,1,3
2135,OFFICE45&&CNTRY644,1,3
2136,OFFICE66&&CNTRY654,0,3
2137,OFFICE41&&CNTRY759,0,0
2138,OFFICE35&&CNTRY765,0,0
2139,OFFICE92&&CNTRY317,0,3
2140,OFFICE51&&CNTRY438,0,3
2141,OFFICE40&&CNTRY262,0,3
2142,OFFICE187&&CNTRY236,0,3
2143,OFFICE174&&CNTRY680,0,3
2144,OFFICE298&&CNTRY747,0,3
2145,OFFICE168&&CNTRY166,0,3
2146,OFFICE252&&CNTRY252,0,0
2147,OFFICE126&&CNTRY846,0,0
2148,OFFICE185&&CNTRY656,0,0
2149,OFFICE100&&CNTRY716,0,0
2150,OFFICE167&&CNTRY652,0,3
2151,OFFICE140&&CNTRY687,0,3
2152,OFFICE111&&CNTRY335,0,0
2153,OFFICE100&&CNTRY962,0,3
2154,OFFICE134&&CNTRY153,0,3
2155,OFFICE113&&CNTRY654,0,3
2156,OFFICE299&&CNTRY485,0,0
2157,OFFICE204&&CNTRY317,0,3
2158,OFFICE237&&CNTRY234,0,0
2159,OFFICE237&&CNTRY674,0,3
2160,OFFICE180&&CNTRY123,0,3
2161,OFFICE279&&CNTRY917,0,3
2162,OFFICE288&&CNTRY390,0,3
2163,OFFICE23&&CNTRY113,0,3
2164,OFFICE94&&CNTRY939,0,0
2165,OFFICE92&&CNTRY171,0,3
2166,OFFICE88&&CNTRY153,0,3
2167,OFFICE52&&CNTRY863,0,3
2168,OFFICE60&&CNTRY659,0,3
2169,OFFICE40&&CNTRY139,0,3
2170,OFFICE76&&CNTRY252,0,3
2171,OFFICE35&&CNTRY917,0,0
2172,OFFICE94&&CNTRY846,0,3
2173,OFFICE60&&CNTRY409,0,3
2174,OFFICE24&&CNTRY747,0,3
2175,OFFICE76&&CNTRY555,1,3
2176,OFFICE94&&CNTRY415,0,0
2177,OFFICE76&&CNTRY891,0,3
2178,OFFICE16&&CNTRY454,0,3
2179,OFFICE40&&CNTRY276,0,0
2180,OFFICE100&&CNTRY689,0,0
2181,OFFICE292&&CNTRY652,0,0
2182,OFFICE141&&CNTRY480,0,3
2183,OFFICE136&&CNTRY438,0,0
2184,OFFICE252&&CNTRY915,0,0
2185,OFFICE109&&CNTRY837,0,3
2186,OFFICE297&&CNTRY485,0,3
2187,OFFICE237&&CNTRY843,0,3
2188,OFFICE134&&CNTRY139,0,3
2189,OFFICE111&&CNTRY454,0,0
2190,OFFICE186&&CNTRY321,0,0
2191,OFFICE141&&CNTRY830,0,3
2192,OFFICE234&&CNTRY652,0,3
2193,OFFICE299&&CNTRY321,0,0
2194,OFFICE288&&CNTRY975,0,3
2195,OFFICE279&&CNTRY562,0,3
2196,OFFICE111&&CNTRY153,0,3
2197,OFFICE174&&CNTRY527,0,3
2198,OFFICE186&&CNTRY171,0,3
2199,OFFICE187&&CNTRY748,0,3
2200,OFFICE237&&CNTRY959,0,3
2201,OFFICE298&&CNTRY456,0,3
2202,OFFICE174&&CNTRY485,0,3
2203,OFFICE204&&CNTRY562,0,0
2204,OFFICE196&&CNTRY825,0,3
2205,OFFICE162&&CNTRY795,0,0
2206,OFFICE297&&CNTRY123,0,0
2207,OFFICE127&&CNTRY618,0,3
2208,OFFICE162&&CNTRY837,0,0
2209,OFFICE168&&CNTRY323,0,0
2210,OFFICE87&&CNTRY637,0,3
2211,OFFICE87&&CNTRY140,0,3
2212,OFFICE51&&CNTRY133,0,3
2213,OFFICE18&&CNTRY652,0,3
2214,OFFICE92&&CNTRY323,1,3
2215,OFFICE88&&CNTRY376,0,3
2216,OFFICE41&&CNTRY480,0,3
2217,OFFICE40&&CNTRY652,0,3
2218,OFFICE40&&CNTRY770,0,3
2219,OFFICE16&&CNTRY825,0,3
2220,OFFICE52&&CNTRY188,0,3
2221,OFFICE52&&CNTRY576,1,3
2222,OFFICE94&&CNTRY615,0,3
2223,OFFICE92&&CNTRY150,1,3
2224,OFFICE76&&CNTRY438,0,3
2225,OFFICE40&&CNTRY874,0,3
2226,OFFICE127&&CNTRY713,0,3
2227,OFFICE168&&CNTRY393,0,3
2228,OFFICE123&&CNTRY771,0,3
2229,OFFICE211&&CNTRY881,0,3
2230,OFFICE168&&CNTRY113,0,3
2231,OFFICE296&&CNTRY716,0,3
2232,OFFICE186&&CNTRY215,0,0
2233,OFFICE214&&CNTRY438,0,0
2234,OFFICE136&&CNTRY236,0,3
2235,OFFICE100&&CNTRY995,0,3
2236,OFFICE234&&CNTRY819,0,3
2237,OFFICE136&&CNTRY123,0,3
2238,OFFICE185&&CNTRY409,0,3
2239,OFFICE214&&CNTRY276,0,0
2240,OFFICE174&&CNTRY959,0,0
2241,OFFICE168&&CNTRY379,0,0
2242,OFFICE233&&CNTRY994,0,3
2243,OFFICE122&&CNTRY236,0,0
2244,OFFICE187&&CNTRY874,0,3
2245,OFFICE187&&CNTRY917,0,3
2246,OFFICE223&&CNTRY930,0,0
2247,OFFICE196&&CNTRY393,0,3
2248,OFFICE204&&CNTRY558,0,0
2249,OFFICE197&&CNTRY915,0,3
2250,OFFICE162&&CNTRY113,0,3
2251,OFFICE122&&CNTRY351,0,3
2252,OFFICE123&&CNTRY236,0,0
2253,OFFICE109&&CNTRY263,0,3
2254,OFFICE299&&CNTRY863,0,0
2255,OFFICE35&&CNTRY415,0,0
2256,OFFICE60&&CNTRY407,0,3
2257,OFFICE23&&CNTRY988,0,3
2258,OFFICE24&&CNTRY915,0,3
2259,OFFICE35&&CNTRY959,0,3
2260,OFFICE40&&CNTRY873,0,3
2261,OFFICE51&&CNTRY995,0,3
2262,OFFICE92&&CNTRY153,0,3
2263,OFFICE51&&CNTRY334,0,3
2264,OFFICE84&&CNTRY376,0,3
2265,OFFICE41&&CNTRY528,0,3
2266,OFFICE76&&CNTRY873,0,3
2267,OFFICE92&&CNTRY622,0,3
2268,OFFICE92&&CNTRY491,0,3
2269,OFFICE222&&CNTRY445,0,3
2270,OFFICE243&&CNTRY884,0,3
2271,OFFICE122&&CNTRY334,0,3
2272,OFFICE233&&CNTRY618,0,3
2273,OFFICE111&&CNTRY316,0,0
2274,OFFICE109&&CNTRY323,0,0
2275,OFFICE214&&CNTRY881,0,3
2276,OFFICE100&&CNTRY351,0,3
2277,OFFICE168&&CNTRY139,0,2
2278,OFFICE126&&CNTRY376,0,0
2279,OFFICE233&&CNTRY123,0,3
2280,OFFICE214&&CNTRY264,0,3
2281,OFFICE214&&CNTRY389,0,3
2282,OFFICE136&&CNTRY625,0,0
2283,OFFICE113&&CNTRY884,0,3
2284,OFFICE141&&CNTRY555,0,3
2285,OFFICE211&&CNTRY140,0,3
2286,OFFICE289&&CNTRY859,0,3
2287,OFFICE168&&CNTRY687,0,3
2288,OFFICE297&&CNTRY321,0,0
2289,OFFICE279&&CNTRY881,0,0
2290,OFFICE211&&CNTRY138,0,0
2291,OFFICE134&&CNTRY215,0,3
2292,OFFICE234&&CNTRY409,0,3
2293,OFFICE186&&CNTRY576,0,3
2294,OFFICE117&&CNTRY316,0,3
